args
 Namespace(samples=4, concat=4, runs=3, latent_size=10, dataset='house', seed=42, epochs=400, lr=0.05, weight_decay=0.0005, hidden=8, dropout=0.5, batch_size=128, tem=0.5, lam=1.0, pretrain_epochs=10, pretrain_lr=0.1, conditional=True, update_epochs=20, num_models=100, warmup=200, cuda=False)
This is house_committees dataset:
  ->  num_classes
  ->  num_vertices
  ->  num_edges
  ->  edge_list
  ->  labels
Please try `data['name']` to get the specified data.
Run Train:   0%|          | 0/3 [00:00<?, ?it/s]/users/Min/miniconda/envs/hyper/lib/python3.9/site-packages/torch/nn/functional.py:1967: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
Run:01 Epoch: 0001 loss_train: 1.0914 loss_val: 1.0390
Run:01 Epoch: 0002 loss_train: 1.0350 loss_val: 0.9399
Run:01 Epoch: 0003 loss_train: 0.9425 loss_val: 0.8390
Run:01 Epoch: 0004 loss_train: 0.8411 loss_val: 0.7663
Run:01 Epoch: 0005 loss_train: 0.7633 loss_val: 0.7351
Run:01 Epoch: 0006 loss_train: 0.7278 loss_val: 0.7710
Run:01 Epoch: 0007 loss_train: 0.7648 loss_val: 0.8297
Run:01 Epoch: 0008 loss_train: 0.8158 loss_val: 0.7782
Run:01 Epoch: 0009 loss_train: 0.7709 loss_val: 0.7104
Run:01 Epoch: 0010 loss_train: 0.7034 loss_val: 0.6963
Run:01 Epoch: 0011 loss_train: 0.6938 loss_val: 0.6990
Run:01 Epoch: 0012 loss_train: 0.6940 loss_val: 0.7292
Run:01 Epoch: 0013 loss_train: 0.7247 loss_val: 0.8007
Run:01 Epoch: 0014 loss_train: 0.7915 loss_val: 0.7776
Run:01 Epoch: 0015 loss_train: 0.7700 loss_val: 0.7217
Run:01 Epoch: 0016 loss_train: 0.7169 loss_val: 0.7031
Run:01 Epoch: 0017 loss_train: 0.6972 loss_val: 0.7070
Run:01 Epoch: 0018 loss_train: 0.6998 loss_val: 0.7370
Run:01 Epoch: 0019 loss_train: 0.7319 loss_val: 0.7837
Run:01 Epoch: 0020 loss_train: 0.7774 loss_val: 0.7673
Run:01 Epoch: 0021 loss_train: 0.7616 loss_val: 0.7250
Run:01 Epoch: 0022 loss_train: 0.7197 loss_val: 0.7102
Run:01 Epoch: 0023 loss_train: 0.7037 loss_val: 0.7174
Run:01 Epoch: 0024 loss_train: 0.7117 loss_val: 0.7470
Run:01 Epoch: 0025 loss_train: 0.7428 loss_val: 0.7726
Run:01 Epoch: 0026 loss_train: 0.7660 loss_val: 0.7549
Run:01 Epoch: 0027 loss_train: 0.7516 loss_val: 0.7252
Run:01 Epoch: 0028 loss_train: 0.7208 loss_val: 0.7158
Run:01 Epoch: 0029 loss_train: 0.7092 loss_val: 0.7275
Run:01 Epoch: 0030 loss_train: 0.7208 loss_val: 0.7569
Run:01 Epoch: 0031 loss_train: 0.7526 loss_val: 0.7637
Run:01 Epoch: 0032 loss_train: 0.7587 loss_val: 0.7418
Run:01 Epoch: 0033 loss_train: 0.7384 loss_val: 0.7223
Run:01 Epoch: 0034 loss_train: 0.7155 loss_val: 0.7228
Run:01 Epoch: 0035 loss_train: 0.7181 loss_val: 0.7391
Run:01 Epoch: 0036 loss_train: 0.7345 loss_val: 0.7577
Run:01 Epoch: 0037 loss_train: 0.7535 loss_val: 0.7537
Run:01 Epoch: 0038 loss_train: 0.7462 loss_val: 0.7379
Run:01 Epoch: 0039 loss_train: 0.7341 loss_val: 0.7253
Run:01 Epoch: 0040 loss_train: 0.7188 loss_val: 0.7301
Run:01 Epoch: 0041 loss_train: 0.7256 loss_val: 0.7461
Run:01 Epoch: 0042 loss_train: 0.7413 loss_val: 0.7570
Run:01 Epoch: 0043 loss_train: 0.7530 loss_val: 0.7437
Run:01 Epoch: 0044 loss_train: 0.7378 loss_val: 0.7310
Run:01 Epoch: 0045 loss_train: 0.7228 loss_val: 0.7310
Run:01 Epoch: 0046 loss_train: 0.7242 loss_val: 0.7428
Run:01 Epoch: 0047 loss_train: 0.7373 loss_val: 0.7537
Run:01 Epoch: 0048 loss_train: 0.7475 loss_val: 0.7465
Run:01 Epoch: 0049 loss_train: 0.7430 loss_val: 0.7321
Run:01 Epoch: 0050 loss_train: 0.7270 loss_val: 0.7292
Run:01 Epoch: 0051 loss_train: 0.7232 loss_val: 0.7384
Run:01 Epoch: 0052 loss_train: 0.7342 loss_val: 0.7498
Run:01 Epoch: 0053 loss_train: 0.7449 loss_val: 0.7468
Run:01 Epoch: 0054 loss_train: 0.7445 loss_val: 0.7365
Run:01 Epoch: 0055 loss_train: 0.7319 loss_val: 0.7294
Run:01 Epoch: 0056 loss_train: 0.7236 loss_val: 0.7351
Run:01 Epoch: 0057 loss_train: 0.7307 loss_val: 0.7465
Run:01 Epoch: 0058 loss_train: 0.7417 loss_val: 0.7495
Run:01 Epoch: 0059 loss_train: 0.7453 loss_val: 0.7391
Run:01 Epoch: 0060 loss_train: 0.7363 loss_val: 0.7313
Run:01 Epoch: 0061 loss_train: 0.7258 loss_val: 0.7326
Run:01 Epoch: 0062 loss_train: 0.7270 loss_val: 0.7432
Run:01 Epoch: 0063 loss_train: 0.7393 loss_val: 0.7489
Run:01 Epoch: 0064 loss_train: 0.7442 loss_val: 0.7445
Run:01 Epoch: 0065 loss_train: 0.7371 loss_val: 0.7348
Run:01 Epoch: 0066 loss_train: 0.7295 loss_val: 0.7345
Run:01 Epoch: 0067 loss_train: 0.7300 loss_val: 0.7403
Run:01 Epoch: 0068 loss_train: 0.7349 loss_val: 0.7455
Run:01 Epoch: 0069 loss_train: 0.7395 loss_val: 0.7447
Run:01 Epoch: 0070 loss_train: 0.7394 loss_val: 0.7376
Run:01 Epoch: 0071 loss_train: 0.7308 loss_val: 0.7368
Run:01 Epoch: 0072 loss_train: 0.7305 loss_val: 0.7417
Run:01 Epoch: 0073 loss_train: 0.7362 loss_val: 0.7432
Run:01 Epoch: 0074 loss_train: 0.7385 loss_val: 0.7425
Run:01 Epoch: 0075 loss_train: 0.7367 loss_val: 0.7383
Run:01 Epoch: 0076 loss_train: 0.7322 loss_val: 0.7387
Run:01 Epoch: 0077 loss_train: 0.7329 loss_val: 0.7408
Run:01 Epoch: 0078 loss_train: 0.7360 loss_val: 0.7421
Run:01 Epoch: 0079 loss_train: 0.7377 loss_val: 0.7390
Run:01 Epoch: 0080 loss_train: 0.7324 loss_val: 0.7398
Run:01 Epoch: 0081 loss_train: 0.7331 loss_val: 0.7422
Run:01 Epoch: 0082 loss_train: 0.7371 loss_val: 0.7418
Run:01 Epoch: 0083 loss_train: 0.7354 loss_val: 0.7388
Run:01 Epoch: 0084 loss_train: 0.7330 loss_val: 0.7393
Run:01 Epoch: 0085 loss_train: 0.7332 loss_val: 0.7420
Run:01 Epoch: 0086 loss_train: 0.7360 loss_val: 0.7414
Run:01 Epoch: 0087 loss_train: 0.7349 loss_val: 0.7405
Run:01 Epoch: 0088 loss_train: 0.7357 loss_val: 0.7383
Run:01 Epoch: 0089 loss_train: 0.7319 loss_val: 0.7389
Run:01 Epoch: 0090 loss_train: 0.7339 loss_val: 0.7411
Run:01 Epoch: 0091 loss_train: 0.7350 loss_val: 0.7420
Run:01 Epoch: 0092 loss_train: 0.7362 loss_val: 0.7395
Run:01 Epoch: 0093 loss_train: 0.7333 loss_val: 0.7399
Run:01 Epoch: 0094 loss_train: 0.7322 loss_val: 0.7422
Run:01 Epoch: 0095 loss_train: 0.7375 loss_val: 0.7405
Run:01 Epoch: 0096 loss_train: 0.7338 loss_val: 0.7398
Run:01 Epoch: 0097 loss_train: 0.7339 loss_val: 0.7386
Run:01 Epoch: 0098 loss_train: 0.7311 loss_val: 0.7420
Run:01 Epoch: 0099 loss_train: 0.7356 loss_val: 0.7444
Run:01 Epoch: 0100 loss_train: 0.7370 loss_val: 0.7397
Run:01 Epoch: 0101 loss_train: 0.7335 loss_val: 0.7380
Run:01 Epoch: 0102 loss_train: 0.7323 loss_val: 0.7388
Run:01 Epoch: 0103 loss_train: 0.7323 loss_val: 0.7418
Run:01 Epoch: 0104 loss_train: 0.7354 loss_val: 0.7411
Run:01 Epoch: 0105 loss_train: 0.7351 loss_val: 0.7384
Run:01 Epoch: 0106 loss_train: 0.7341 loss_val: 0.7359
Run:01 Epoch: 0107 loss_train: 0.7292 loss_val: 0.7412
Run:01 Epoch: 0108 loss_train: 0.7340 loss_val: 0.7448
Run:01 Epoch: 0109 loss_train: 0.7377 loss_val: 0.7407
Run:01 Epoch: 0110 loss_train: 0.7330 loss_val: 0.7378
Run:01 Epoch: 0111 loss_train: 0.7300 loss_val: 0.7411
Run:01 Epoch: 0112 loss_train: 0.7345 loss_val: 0.7420
Run:01 Epoch: 0113 loss_train: 0.7353 loss_val: 0.7383
Run:01 Epoch: 0114 loss_train: 0.7310 loss_val: 0.7386
Run:01 Epoch: 0115 loss_train: 0.7311 loss_val: 0.7425
Run:01 Epoch: 0116 loss_train: 0.7350 loss_val: 0.7423
Run:01 Epoch: 0117 loss_train: 0.7344 loss_val: 0.7393
Run:01 Epoch: 0118 loss_train: 0.7305 loss_val: 0.7408
Run:01 Epoch: 0119 loss_train: 0.7347 loss_val: 0.7387
Run:01 Epoch: 0120 loss_train: 0.7315 loss_val: 0.7382
Run:01 Epoch: 0121 loss_train: 0.7298 loss_val: 0.7442
Run:01 Epoch: 0122 loss_train: 0.7354 loss_val: 0.7416
Run:01 Epoch: 0123 loss_train: 0.7328 loss_val: 0.7378
Run:01 Epoch: 0124 loss_train: 0.7298 loss_val: 0.7393
Run:01 Epoch: 0125 loss_train: 0.7299 loss_val: 0.7442
Run:01 Epoch: 0126 loss_train: 0.7348 loss_val: 0.7411
Run:01 Epoch: 0127 loss_train: 0.7323 loss_val: 0.7364
Run:01 Epoch: 0128 loss_train: 0.7291 loss_val: 0.7392
Run:01 Epoch: 0129 loss_train: 0.7296 loss_val: 0.7469
Run:01 Epoch: 0130 loss_train: 0.7383 loss_val: 0.7358
Run:01 Epoch: 0131 loss_train: 0.7261 loss_val: 0.7381
Run:01 Epoch: 0132 loss_train: 0.7271 loss_val: 0.7480
Run:01 Epoch: 0133 loss_train: 0.7372 loss_val: 0.7390
Run:01 Epoch: 0134 loss_train: 0.7291 loss_val: 0.7356
Run:01 Epoch: 0135 loss_train: 0.7250 loss_val: 0.7476
Run:01 Epoch: 0136 loss_train: 0.7368 loss_val: 0.7422
Run:01 Epoch: 0137 loss_train: 0.7314 loss_val: 0.7346
Run:01 Epoch: 0138 loss_train: 0.7230 loss_val: 0.7473
Run:01 Epoch: 0139 loss_train: 0.7345 loss_val: 0.7444
Run:01 Epoch: 0140 loss_train: 0.7319 loss_val: 0.7345
Run:01 Epoch: 0141 loss_train: 0.7221 loss_val: 0.7436
Run:01 Epoch: 0142 loss_train: 0.7306 loss_val: 0.7454
Run:01 Epoch: 0143 loss_train: 0.7337 loss_val: 0.7305
Run:01 Epoch: 0144 loss_train: 0.7179 loss_val: 0.7495
Run:01 Epoch: 0145 loss_train: 0.7338 loss_val: 0.7472
Run:01 Epoch: 0146 loss_train: 0.7333 loss_val: 0.7285
Run:01 Epoch: 0147 loss_train: 0.7138 loss_val: 0.7479
Run:01 Epoch: 0148 loss_train: 0.7326 loss_val: 0.7491
Run:01 Epoch: 0149 loss_train: 0.7325 loss_val: 0.7336
Run:01 Epoch: 0150 loss_train: 0.7193 loss_val: 0.7402
Run:01 Epoch: 0151 loss_train: 0.7240 loss_val: 0.7539
Run:01 Epoch: 0152 loss_train: 0.7390 loss_val: 0.7254
Run:01 Epoch: 0153 loss_train: 0.7097 loss_val: 0.7456
Run:01 Epoch: 0154 loss_train: 0.7281 loss_val: 0.7604
