args
 Namespace(samples=4, concat=10, runs=3, latent_size=10, dataset='zoo', seed=42, epochs=1000, lr=0.01, weight_decay=0.0005, hidden=8, dropout=0.5, batch_size=128, tem=0.5, lam=1.0, pretrain_epochs=10, pretrain_lr=0.1, conditional=True, update_epochs=20, num_models=100, warmup=200, cuda=False)
Loading zoo dataset...
load features
load edges
hg: Hypergraph(num_v=101, num_e=41)
Run Train:   0%|          | 0/3 [00:00<?, ?it/s]/users/Min/miniconda/envs/hy/lib/python3.9/site-packages/torch/nn/functional.py:1967: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
Run:01 Epoch: 0001 loss_train: 2.1387 loss_val: 2.0743
Run:01 Epoch: 0002 loss_train: 2.0632 loss_val: 2.0317
Run:01 Epoch: 0003 loss_train: 1.9983 loss_val: 1.9953
Run:01 Epoch: 0004 loss_train: 1.9406 loss_val: 1.9666
Run:01 Epoch: 0005 loss_train: 1.8866 loss_val: 1.9472
Run:01 Epoch: 0006 loss_train: 1.8340 loss_val: 1.9374
Run:01 Epoch: 0007 loss_train: 1.7895 loss_val: 1.9390
Run:01 Epoch: 0008 loss_train: 1.7585 loss_val: 1.9560
Run:01 Epoch: 0009 loss_train: 1.7296 loss_val: 1.9893
Run:01 Epoch: 0010 loss_train: 1.7215 loss_val: 2.0369
Run:01 Epoch: 0011 loss_train: 1.7196 loss_val: 2.0912
Run:01 Epoch: 0012 loss_train: 1.7420 loss_val: 2.1356
Run:01 Epoch: 0013 loss_train: 1.7542 loss_val: 2.1573
Run:01 Epoch: 0014 loss_train: 1.7709 loss_val: 2.1525
Run:01 Epoch: 0015 loss_train: 1.7890 loss_val: 2.1289
Run:01 Epoch: 0016 loss_train: 1.7879 loss_val: 2.0919
Run:01 Epoch: 0017 loss_train: 1.7933 loss_val: 2.0493
Run:01 Epoch: 0018 loss_train: 1.7825 loss_val: 2.0089
Run:01 Epoch: 0019 loss_train: 1.8002 loss_val: 1.9708
Run:01 Epoch: 0020 loss_train: 1.8055 loss_val: 1.9404
Run:01 Epoch: 0021 loss_train: 1.8106 loss_val: 1.9172
Run:01 Epoch: 0022 loss_train: 1.8129 loss_val: 1.9032
Run:01 Epoch: 0023 loss_train: 1.8263 loss_val: 1.8949
Run:01 Epoch: 0024 loss_train: 1.8427 loss_val: 1.8949
Run:01 Epoch: 0025 loss_train: 1.8518 loss_val: 1.8975
Run:01 Epoch: 0026 loss_train: 1.8537 loss_val: 1.9030
Run:01 Epoch: 0027 loss_train: 1.8548 loss_val: 1.9091
Run:01 Epoch: 0028 loss_train: 1.8590 loss_val: 1.9140
Run:01 Epoch: 0029 loss_train: 1.8553 loss_val: 1.9159
Run:01 Epoch: 0030 loss_train: 1.8370 loss_val: 1.9191
Run:01 Epoch: 0031 loss_train: 1.8269 loss_val: 1.9200
Run:01 Epoch: 0032 loss_train: 1.8061 loss_val: 1.9197
Run:01 Epoch: 0033 loss_train: 1.7879 loss_val: 1.9182
Run:01 Epoch: 0034 loss_train: 1.7740 loss_val: 1.9176
Run:01 Epoch: 0035 loss_train: 1.7636 loss_val: 1.9182
Run:01 Epoch: 0036 loss_train: 1.7779 loss_val: 1.9180
Run:01 Epoch: 0037 loss_train: 1.7794 loss_val: 1.9188
Run:01 Epoch: 0038 loss_train: 1.7876 loss_val: 1.9212
Run:01 Epoch: 0039 loss_train: 1.8070 loss_val: 1.9220
Run:01 Epoch: 0040 loss_train: 1.8120 loss_val: 1.9219
Run:01 Epoch: 0041 loss_train: 1.8326 loss_val: 1.9180
Run:01 Epoch: 0042 loss_train: 1.8231 loss_val: 1.9133
Run:01 Epoch: 0043 loss_train: 1.8295 loss_val: 1.9055
Run:01 Epoch: 0044 loss_train: 1.8178 loss_val: 1.8982
Run:01 Epoch: 0045 loss_train: 1.8162 loss_val: 1.8937
Run:01 Epoch: 0046 loss_train: 1.8011 loss_val: 1.8907
Run:01 Epoch: 0047 loss_train: 1.7992 loss_val: 1.8891
Run:01 Epoch: 0048 loss_train: 1.7988 loss_val: 1.8894
Run:01 Epoch: 0049 loss_train: 1.7928 loss_val: 1.8913
Run:01 Epoch: 0050 loss_train: 1.7966 loss_val: 1.8965
