args
 Namespace(samples=4, concat=10, runs=3, latent_size=10, dataset='house', seed=42, epochs=2000, lr=0.01, weight_decay=0.0005, hidden=256, dropout=0.5, batch_size=128, tem=0.5, lam=1.0, pretrain_epochs=10, pretrain_lr=0.1, conditional=True, update_epochs=20, num_models=100, warmup=200, cuda=False)
Loading zoo dataset...
load features
load edges
hg: Hypergraph(num_v=101, num_e=41)
Run Train:   0%|          | 0/3 [00:00<?, ?it/s]/users/Min/miniconda/envs/hy/lib/python3.9/site-packages/torch/nn/functional.py:1967: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
Run:01 Epoch: 0001 loss_train: 2.1102 loss_val: 2.4860
Run:01 Epoch: 0002 loss_train: 1.9747 loss_val: 2.6498
Run:01 Epoch: 0003 loss_train: 2.0926 loss_val: 2.3501
Run:01 Epoch: 0004 loss_train: 1.9794 loss_val: 2.0566
Run:01 Epoch: 0005 loss_train: 1.8628 loss_val: 1.9169
Run:01 Epoch: 0006 loss_train: 1.8010 loss_val: 1.8492
Run:01 Epoch: 0007 loss_train: 1.7666 loss_val: 1.8277
Run:01 Epoch: 0008 loss_train: 1.7494 loss_val: 1.8353
Run:01 Epoch: 0009 loss_train: 1.7489 loss_val: 1.8711
Run:01 Epoch: 0010 loss_train: 1.7647 loss_val: 1.9355
Run:01 Epoch: 0011 loss_train: 1.7974 loss_val: 2.0084
Run:01 Epoch: 0012 loss_train: 1.8488 loss_val: 2.0286
Run:01 Epoch: 0013 loss_train: 1.8678 loss_val: 1.9871
Run:01 Epoch: 0014 loss_train: 1.8491 loss_val: 1.9122
Run:01 Epoch: 0015 loss_train: 1.8095 loss_val: 1.8418
Run:01 Epoch: 0016 loss_train: 1.7816 loss_val: 1.8287
Run:01 Epoch: 0017 loss_train: 1.7761 loss_val: 1.8594
Run:01 Epoch: 0018 loss_train: 1.7891 loss_val: 1.9192
Run:01 Epoch: 0019 loss_train: 1.8137 loss_val: 1.9602
Run:01 Epoch: 0020 loss_train: 1.8317 loss_val: 1.9530
Run:01 Epoch: 0021 loss_train: 1.8290 loss_val: 1.9163
Run:01 Epoch: 0022 loss_train: 1.8072 loss_val: 1.8782
Run:01 Epoch: 0023 loss_train: 1.7895 loss_val: 1.8788
Run:01 Epoch: 0024 loss_train: 1.7861 loss_val: 1.9010
Run:01 Epoch: 0025 loss_train: 1.8000 loss_val: 1.9287
Run:01 Epoch: 0026 loss_train: 1.8112 loss_val: 1.9305
Run:01 Epoch: 0027 loss_train: 1.8135 loss_val: 1.9152
Run:01 Epoch: 0028 loss_train: 1.8034 loss_val: 1.8932
Run:01 Epoch: 0029 loss_train: 1.7900 loss_val: 1.8965
Run:01 Epoch: 0030 loss_train: 1.7928 loss_val: 1.9095
Run:01 Epoch: 0031 loss_train: 1.8010 loss_val: 1.9122
Run:01 Epoch: 0032 loss_train: 1.8034 loss_val: 1.9034
Run:01 Epoch: 0033 loss_train: 1.8009 loss_val: 1.8899
Run:01 Epoch: 0034 loss_train: 1.7979 loss_val: 1.8886
Run:01 Epoch: 0035 loss_train: 1.7928 loss_val: 1.9022
Run:01 Epoch: 0036 loss_train: 1.7993 loss_val: 1.9077
Run:01 Epoch: 0037 loss_train: 1.8012 loss_val: 1.8952
Run:01 Epoch: 0038 loss_train: 1.7896 loss_val: 1.8850
Run:01 Epoch: 0039 loss_train: 1.7844 loss_val: 1.9028
Run:01 Epoch: 0040 loss_train: 1.8018 loss_val: 1.8989
Run:01 Epoch: 0041 loss_train: 1.7969 loss_val: 1.8763
Run:01 Epoch: 0042 loss_train: 1.7775 loss_val: 1.8861
Run:01 Epoch: 0043 loss_train: 1.7811 loss_val: 1.8964
Run:01 Epoch: 0044 loss_train: 1.7925 loss_val: 1.8842
Run:01 Epoch: 0045 loss_train: 1.7873 loss_val: 1.8711
Run:01 Epoch: 0046 loss_train: 1.7642 loss_val: 1.8713
Run:01 Epoch: 0047 loss_train: 1.7697 loss_val: 1.8770
Run:01 Epoch: 0048 loss_train: 1.7851 loss_val: 1.8634
Run:01 Epoch: 0049 loss_train: 1.7595 loss_val: 1.8645
Run:01 Epoch: 0050 loss_train: 1.7568 loss_val: 1.8545
Run:01 Epoch: 0051 loss_train: 1.7539 loss_val: 1.8516
Run:01 Epoch: 0052 loss_train: 1.7559 loss_val: 1.8377
Run:01 Epoch: 0053 loss_train: 1.7392 loss_val: 1.8433
Run:01 Epoch: 0054 loss_train: 1.7395 loss_val: 1.8238
Run:01 Epoch: 0055 loss_train: 1.7040 loss_val: 1.8244
Run:01 Epoch: 0056 loss_train: 1.7264 loss_val: 1.8370
Run:01 Epoch: 0057 loss_train: 1.7540 loss_val: 1.7918
Run:01 Epoch: 0058 loss_train: 1.6353 loss_val: 1.8124
Run:01 Epoch: 0059 loss_train: 1.6548 loss_val: 1.8179
Run:01 Epoch: 0060 loss_train: 1.7180 loss_val: 1.7491
Run:01 Epoch: 0061 loss_train: 1.6806 loss_val: 1.7555
