args
 Namespace(samples=4, concat=10, runs=3, latent_size=10, dataset='house', seed=42, epochs=2000, lr=0.01, weight_decay=0.0005, hidden=256, dropout=0.5, batch_size=128, tem=0.5, lam=1.0, pretrain_epochs=10, pretrain_lr=0.1, conditional=True, update_epochs=20, num_models=100, warmup=200, cuda=False)
Loading zoo dataset...
load features
load edges
hg: Hypergraph(num_v=101, num_e=41)
Run Train:   0%|          | 0/3 [00:00<?, ?it/s]/users/Min/miniconda/envs/hy/lib/python3.9/site-packages/torch/nn/functional.py:1967: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
Run:01 Epoch: 0001 loss_train: 2.1098 loss_val: 2.4865
Run:01 Epoch: 0002 loss_train: 1.9746 loss_val: 2.6493
Run:01 Epoch: 0003 loss_train: 2.0930 loss_val: 2.3456
Run:01 Epoch: 0004 loss_train: 1.9772 loss_val: 2.0531
Run:01 Epoch: 0005 loss_train: 1.8610 loss_val: 1.9141
Run:01 Epoch: 0006 loss_train: 1.7997 loss_val: 1.8476
Run:01 Epoch: 0007 loss_train: 1.7655 loss_val: 1.8280
Run:01 Epoch: 0008 loss_train: 1.7485 loss_val: 1.8370
Run:01 Epoch: 0009 loss_train: 1.7485 loss_val: 1.8744
Run:01 Epoch: 0010 loss_train: 1.7651 loss_val: 1.9423
Run:01 Epoch: 0011 loss_train: 1.8002 loss_val: 2.0131
Run:01 Epoch: 0012 loss_train: 1.8527 loss_val: 2.0267
Run:01 Epoch: 0013 loss_train: 1.8672 loss_val: 1.9795
Run:01 Epoch: 0014 loss_train: 1.8455 loss_val: 1.9050
Run:01 Epoch: 0015 loss_train: 1.8065 loss_val: 1.8411
Run:01 Epoch: 0016 loss_train: 1.7812 loss_val: 1.8319
Run:01 Epoch: 0017 loss_train: 1.7764 loss_val: 1.8629
Run:01 Epoch: 0018 loss_train: 1.7895 loss_val: 1.9236
Run:01 Epoch: 0019 loss_train: 1.8142 loss_val: 1.9577
Run:01 Epoch: 0020 loss_train: 1.8298 loss_val: 1.9463
Run:01 Epoch: 0021 loss_train: 1.8255 loss_val: 1.9096
Run:01 Epoch: 0022 loss_train: 1.8053 loss_val: 1.8769
Run:01 Epoch: 0023 loss_train: 1.7907 loss_val: 1.8816
Run:01 Epoch: 0024 loss_train: 1.7897 loss_val: 1.9062
Run:01 Epoch: 0025 loss_train: 1.8039 loss_val: 1.9289
Run:01 Epoch: 0026 loss_train: 1.8126 loss_val: 1.9282
Run:01 Epoch: 0027 loss_train: 1.8125 loss_val: 1.9109
Run:01 Epoch: 0028 loss_train: 1.8020 loss_val: 1.8903
Run:01 Epoch: 0029 loss_train: 1.7867 loss_val: 1.8991
Run:01 Epoch: 0030 loss_train: 1.7926 loss_val: 1.9114
Run:01 Epoch: 0031 loss_train: 1.8016 loss_val: 1.9109
Run:01 Epoch: 0032 loss_train: 1.8035 loss_val: 1.8993
Run:01 Epoch: 0033 loss_train: 1.8002 loss_val: 1.8868
Run:01 Epoch: 0034 loss_train: 1.7967 loss_val: 1.8914
Run:01 Epoch: 0035 loss_train: 1.7947 loss_val: 1.9037
Run:01 Epoch: 0036 loss_train: 1.7972 loss_val: 1.9036
Run:01 Epoch: 0037 loss_train: 1.7981 loss_val: 1.8875
Run:01 Epoch: 0038 loss_train: 1.7883 loss_val: 1.8872
Run:01 Epoch: 0039 loss_train: 1.7873 loss_val: 1.9033
Run:01 Epoch: 0040 loss_train: 1.8012 loss_val: 1.8922
Run:01 Epoch: 0041 loss_train: 1.7911 loss_val: 1.8741
Run:01 Epoch: 0042 loss_train: 1.7746 loss_val: 1.8900
Run:01 Epoch: 0043 loss_train: 1.7869 loss_val: 1.8959
Run:01 Epoch: 0044 loss_train: 1.7900 loss_val: 1.8753
Run:01 Epoch: 0045 loss_train: 1.7788 loss_val: 1.8648
Run:01 Epoch: 0046 loss_train: 1.7671 loss_val: 1.8810
Run:01 Epoch: 0047 loss_train: 1.7703 loss_val: 1.8748
Run:01 Epoch: 0048 loss_train: 1.7782 loss_val: 1.8595
Run:01 Epoch: 0049 loss_train: 1.7570 loss_val: 1.8636
Run:01 Epoch: 0050 loss_train: 1.7618 loss_val: 1.8637
