args
 Namespace(samples=4, concat=2, runs=3, latent_size=10, dataset='zoo', seed=42, epochs=1500, lr=0.01, weight_decay=0, hidden=8, dropout=0.5, batch_size=128, tem=0.5, lam=1.0, pretrain_epochs=10, pretrain_lr=0.01, conditional=True, update_epochs=20, num_models=100, warmup=200, cuda=False)
Loading zoo dataset...
load features
load edges
hg: Hypergraph(num_v=101, num_e=41)
Run Train:   0%|          | 0/3 [00:00<?, ?it/s]/users/Min/miniconda/envs/hy/lib/python3.9/site-packages/torch/nn/functional.py:1967: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
Run:01 Epoch: 0001 loss_train: 29.3317 loss_val: 18.8673
Run:01 Epoch: 0002 loss_train: 15.5709 loss_val: 16.3937
Run:01 Epoch: 0003 loss_train: 13.2931 loss_val: 13.4631
Run:01 Epoch: 0004 loss_train: 12.3925 loss_val: 10.0083
Run:01 Epoch: 0005 loss_train: 9.6618 loss_val: 8.0035
Run:01 Epoch: 0006 loss_train: 6.8353 loss_val: 6.9715
Run:01 Epoch: 0007 loss_train: 4.9857 loss_val: 5.5798
Run:01 Epoch: 0008 loss_train: 4.8999 loss_val: 6.9590
Run:01 Epoch: 0009 loss_train: 5.8387 loss_val: 7.1742
Run:01 Epoch: 0010 loss_train: 5.4292 loss_val: 6.4657
Run:01 Epoch: 0011 loss_train: 4.9139 loss_val: 5.1383
Run:01 Epoch: 0012 loss_train: 3.6543 loss_val: 5.2240
Run:01 Epoch: 0013 loss_train: 4.0598 loss_val: 5.6411
Run:01 Epoch: 0014 loss_train: 3.6509 loss_val: 5.8243
Run:01 Epoch: 0015 loss_train: 4.8952 loss_val: 5.9220
Run:01 Epoch: 0016 loss_train: 4.3166 loss_val: 5.7762
Run:01 Epoch: 0017 loss_train: 4.5804 loss_val: 5.2935
Run:01 Epoch: 0018 loss_train: 4.0610 loss_val: 5.0156
Run:01 Epoch: 0019 loss_train: 3.8884 loss_val: 4.6939
Run:01 Epoch: 0020 loss_train: 3.1094 loss_val: 4.5012
Run:01 Epoch: 0021 loss_train: 3.2605 loss_val: 4.4086
Run:01 Epoch: 0022 loss_train: 3.2581 loss_val: 4.3525
Run:01 Epoch: 0023 loss_train: 3.0380 loss_val: 4.3497
Run:01 Epoch: 0024 loss_train: 3.2340 loss_val: 4.0781
Run:01 Epoch: 0025 loss_train: 2.9675 loss_val: 3.7217
Run:01 Epoch: 0026 loss_train: 2.4496 loss_val: 3.3804
Run:01 Epoch: 0027 loss_train: 2.7578 loss_val: 3.2213
Run:01 Epoch: 0028 loss_train: 2.3524 loss_val: 3.2041
Run:01 Epoch: 0029 loss_train: 2.4233 loss_val: 3.0948
