args
 Namespace(samples=4, concat=10, runs=3, latent_size=10, dataset='house', seed=42, epochs=2000, lr=0.01, weight_decay=0.0005, hidden=128, dropout=0.5, batch_size=128, tem=0.5, lam=1.0, pretrain_epochs=15, pretrain_lr=0.05, conditional=True, update_epochs=20, num_models=100, warmup=200, cuda=False)
Loading zoo dataset...
load features
load edges
hg: Hypergraph(num_v=101, num_e=41)
Run Train:   0%|          | 0/3 [00:00<?, ?it/s]/users/Min/miniconda/envs/hy/lib/python3.9/site-packages/torch/nn/functional.py:1967: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
Run:01 Epoch: 0001 loss_train: 28.9240 loss_val: 51.1052
Run:01 Epoch: 0002 loss_train: 45.0344 loss_val: 153.2610
Run:01 Epoch: 0003 loss_train: 147.2642 loss_val: 246.0104
Run:01 Epoch: 0004 loss_train: 311.8492 loss_val: 357.9241
Run:01 Epoch: 0005 loss_train: 451.2763 loss_val: 465.9462
Run:01 Epoch: 0006 loss_train: 562.6664 loss_val: 359.1138
Run:01 Epoch: 0007 loss_train: 441.2673 loss_val: 317.0671
Run:01 Epoch: 0008 loss_train: 369.2213 loss_val: 277.6444
Run:01 Epoch: 0009 loss_train: 304.6942 loss_val: 219.4602
Run:01 Epoch: 0010 loss_train: 228.6323 loss_val: 157.1157
Run:01 Epoch: 0011 loss_train: 153.0305 loss_val: 99.2034
Run:01 Epoch: 0012 loss_train: 87.5797 loss_val: 83.3194
Run:01 Epoch: 0013 loss_train: 68.2398 loss_val: 63.6872
Run:01 Epoch: 0014 loss_train: 51.9969 loss_val: 41.7487
Run:01 Epoch: 0015 loss_train: 33.5385 loss_val: 20.1057
Run:01 Epoch: 0016 loss_train: 15.8616 loss_val: 9.1310
Run:01 Epoch: 0017 loss_train: 10.9319 loss_val: 8.0770
Run:01 Epoch: 0018 loss_train: 13.6351 loss_val: 4.1172
Run:01 Epoch: 0019 loss_train: 9.7917 loss_val: 7.6003
Run:01 Epoch: 0020 loss_train: 11.9737 loss_val: 6.1044
Run:01 Epoch: 0021 loss_train: 8.4781 loss_val: 2.7376
Run:01 Epoch: 0022 loss_train: 3.8291 loss_val: 4.5886
Run:01 Epoch: 0023 loss_train: 3.9405 loss_val: 6.5839
Run:01 Epoch: 0024 loss_train: 5.5054 loss_val: 4.0759
Run:01 Epoch: 0025 loss_train: 3.8141 loss_val: 2.3669
Run:01 Epoch: 0026 loss_train: 2.5821 loss_val: 2.3224
Run:01 Epoch: 0027 loss_train: 2.4732 loss_val: 1.8808
Run:01 Epoch: 0028 loss_train: 1.7256 loss_val: 2.1968
Run:01 Epoch: 0029 loss_train: 1.9867 loss_val: 2.5425
Run:01 Epoch: 0030 loss_train: 2.0857 loss_val: 1.8277
Run:01 Epoch: 0031 loss_train: 1.8227 loss_val: 2.3784
Run:01 Epoch: 0032 loss_train: 2.1353 loss_val: 1.8976
Run:01 Epoch: 0033 loss_train: 1.6824 loss_val: 1.8698
Run:01 Epoch: 0034 loss_train: 1.6982 loss_val: 1.8648
Run:01 Epoch: 0035 loss_train: 1.6996 loss_val: 1.8997
Run:01 Epoch: 0036 loss_train: 1.7513 loss_val: 2.0656
Run:01 Epoch: 0037 loss_train: 1.8875 loss_val: 2.1301
Run:01 Epoch: 0038 loss_train: 1.9325 loss_val: 1.9551
Run:01 Epoch: 0039 loss_train: 1.7782 loss_val: 1.8694
Run:01 Epoch: 0040 loss_train: 1.7074 loss_val: 1.8534
Run:01 Epoch: 0041 loss_train: 1.6954 loss_val: 1.8878
Run:01 Epoch: 0042 loss_train: 1.7250 loss_val: 2.2490
Run:01 Epoch: 0043 loss_train: 1.9691 loss_val: 1.8548
Run:01 Epoch: 0044 loss_train: 1.7315 loss_val: 1.8374
Run:01 Epoch: 0045 loss_train: 1.7073 loss_val: 1.8584
Run:01 Epoch: 0046 loss_train: 1.7531 loss_val: 1.9569
Run:01 Epoch: 0047 loss_train: 1.8526 loss_val: 2.0426
Run:01 Epoch: 0048 loss_train: 1.9148 loss_val: 1.9535
Run:01 Epoch: 0049 loss_train: 1.8427 loss_val: 1.8777
Run:01 Epoch: 0050 loss_train: 1.7365 loss_val: 1.8669
Run:01 Epoch: 0051 loss_train: 1.6984 loss_val: 1.8874
Run:01 Epoch: 0052 loss_train: 1.7193 loss_val: 1.9464
Run:01 Epoch: 0053 loss_train: 1.7628 loss_val: 2.0264
Run:01 Epoch: 0054 loss_train: 1.8516 loss_val: 2.0124
Run:01 Epoch: 0055 loss_train: 1.8629 loss_val: 1.9164
Run:01 Epoch: 0056 loss_train: 1.7986 loss_val: 1.8616
Run:01 Epoch: 0057 loss_train: 1.7680 loss_val: 1.8544
Run:01 Epoch: 0058 loss_train: 1.7767 loss_val: 1.8906
Run:01 Epoch: 0059 loss_train: 1.8403 loss_val: 1.9441
Run:01 Epoch: 0060 loss_train: 1.8716 loss_val: 1.9566
Run:01 Epoch: 0061 loss_train: 1.8592 loss_val: 1.9250
Run:01 Epoch: 0062 loss_train: 1.8046 loss_val: 1.9012
Run:01 Epoch: 0063 loss_train: 1.7686 loss_val: 1.8952
Run:01 Epoch: 0064 loss_train: 1.7455 loss_val: 1.9064
Run:01 Epoch: 0065 loss_train: 1.7559 loss_val: 1.9327
Run:01 Epoch: 0066 loss_train: 1.8002 loss_val: 1.9555
Run:01 Epoch: 0067 loss_train: 1.8332 loss_val: 1.9364
Run:01 Epoch: 0068 loss_train: 1.8464 loss_val: 1.8964
Run:01 Epoch: 0069 loss_train: 1.7976 loss_val: 1.8787
Run:01 Epoch: 0070 loss_train: 1.7840 loss_val: 1.8970
Run:01 Epoch: 0071 loss_train: 1.8205 loss_val: 1.9249
Run:01 Epoch: 0072 loss_train: 1.8380 loss_val: 1.9285
Run:01 Epoch: 0073 loss_train: 1.8344 loss_val: 1.9219
Run:01 Epoch: 0074 loss_train: 1.8087 loss_val: 1.9052
Run:01 Epoch: 0075 loss_train: 1.7982 loss_val: 1.8958
Run:01 Epoch: 0076 loss_train: 1.7893 loss_val: 1.8954
Run:01 Epoch: 0077 loss_train: 1.7844 loss_val: 1.9147
