args
 Namespace(samples=4, concat=2, runs=3, latent_size=10, dataset='house', seed=42, epochs=1500, lr=0.01, weight_decay=0, hidden=64, dropout=0.5, batch_size=128, tem=0.5, lam=1.0, pretrain_epochs=10, pretrain_lr=0.01, conditional=True, update_epochs=20, num_models=100, warmup=200, cuda=False)
Loading zoo dataset...
load features
load edges
hg: Hypergraph(num_v=101, num_e=41)
Run Train:   0%|          | 0/3 [00:00<?, ?it/s]/users/Min/miniconda/envs/hy/lib/python3.9/site-packages/torch/nn/functional.py:1967: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
Run:01 Epoch: 0001 loss_train: 31.6801 loss_val: 28.4549
Run:01 Epoch: 0002 loss_train: 24.5492 loss_val: 22.7644
Run:01 Epoch: 0003 loss_train: 20.3800 loss_val: 21.1902
Run:01 Epoch: 0004 loss_train: 21.8211 loss_val: 27.2824
Run:01 Epoch: 0005 loss_train: 30.9041 loss_val: 34.6012
Run:01 Epoch: 0006 loss_train: 40.3170 loss_val: 39.1232
Run:01 Epoch: 0007 loss_train: 39.6507 loss_val: 29.5179
Run:01 Epoch: 0008 loss_train: 27.6777 loss_val: 27.9218
Run:01 Epoch: 0009 loss_train: 23.6250 loss_val: 28.0771
Run:01 Epoch: 0010 loss_train: 20.7379 loss_val: 31.0908
Run:01 Epoch: 0011 loss_train: 21.7954 loss_val: 25.0525
Run:01 Epoch: 0012 loss_train: 20.2567 loss_val: 15.0873
Run:01 Epoch: 0013 loss_train: 11.9932 loss_val: 12.4700
Run:01 Epoch: 0014 loss_train: 11.4052 loss_val: 10.7445
Run:01 Epoch: 0015 loss_train: 12.0438 loss_val: 9.5622
Run:01 Epoch: 0016 loss_train: 11.9289 loss_val: 6.8797
Run:01 Epoch: 0017 loss_train: 9.6223 loss_val: 7.8116
Run:01 Epoch: 0018 loss_train: 10.2395 loss_val: 6.6018
Run:01 Epoch: 0019 loss_train: 9.6098 loss_val: 7.1965
Run:01 Epoch: 0020 loss_train: 8.7681 loss_val: 5.9480
Run:01 Epoch: 0021 loss_train: 6.6589 loss_val: 5.2295
Run:01 Epoch: 0022 loss_train: 5.0312 loss_val: 4.9793
Run:01 Epoch: 0023 loss_train: 4.2786 loss_val: 5.0750
Run:01 Epoch: 0024 loss_train: 4.3753 loss_val: 5.5614
Run:01 Epoch: 0025 loss_train: 4.4899 loss_val: 5.4144
Run:01 Epoch: 0026 loss_train: 4.0047 loss_val: 4.7691
