args
 Namespace(samples=4, concat=10, runs=2, latent_size=10, dataset='cocitationciteseer', seed=42, epochs=1500, lr=0.01, weight_decay=0.0005, hidden=64, dropout=0.5, batch_size=128, tem=0.5, lam=1.0, pretrain_epochs=8, pretrain_lr=0.05, conditional=True, update_epochs=20, num_models=100, warmup=200, cuda=False)
This is cocitation_citeseer dataset:
  ->  num_classes
  ->  num_vertices
  ->  num_edges
  ->  dim_features
  ->  features
  ->  edge_list
  ->  labels
  ->  train_mask
  ->  val_mask
  ->  test_mask
Please try `data['name']` to get the specified data.
Run Train:   0%|          | 0/2 [00:00<?, ?it/s]/users/Min/miniconda/envs/hy/lib/python3.9/site-packages/torch/nn/functional.py:1967: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
Run:01 Epoch: 0001 loss_train: 1.7801 loss_val: 1.8630
Run:01 Epoch: 0002 loss_train: 1.8906 loss_val: 1.8776
Run:01 Epoch: 0003 loss_train: 1.8629 loss_val: 1.7658
Run:01 Epoch: 0004 loss_train: 1.7608 loss_val: 1.7646
Run:01 Epoch: 0005 loss_train: 1.7681 loss_val: 1.7415
Run:01 Epoch: 0006 loss_train: 1.7500 loss_val: 1.7344
Run:01 Epoch: 0007 loss_train: 1.7436 loss_val: 1.7289
Run:01 Epoch: 0008 loss_train: 1.7378 loss_val: 1.7283
Run:01 Epoch: 0009 loss_train: 1.7419 loss_val: 1.7152
Run:01 Epoch: 0010 loss_train: 1.7231 loss_val: 1.7101
Run:01 Epoch: 0011 loss_train: 1.7091 loss_val: 1.6998
Run:01 Epoch: 0012 loss_train: 1.6985 loss_val: 1.6864
Run:01 Epoch: 0013 loss_train: 1.6900 loss_val: 1.6845
Run:01 Epoch: 0014 loss_train: 1.6865 loss_val: 1.6767
Run:01 Epoch: 0015 loss_train: 1.6770 loss_val: 1.6609
Run:01 Epoch: 0016 loss_train: 1.6631 loss_val: 1.6472
Run:01 Epoch: 0017 loss_train: 1.6504 loss_val: 1.6385
Run:01 Epoch: 0018 loss_train: 1.6366 loss_val: 1.6323
Run:01 Epoch: 0019 loss_train: 1.6257 loss_val: 1.6275
Run:01 Epoch: 0020 loss_train: 1.6148 loss_val: 1.6134
Run:01 Epoch: 0021 loss_train: 1.6018 loss_val: 1.5997
Run:01 Epoch: 0022 loss_train: 1.5858 loss_val: 1.5976
