args
 Namespace(samples=4, concat=4, runs=3, latent_size=10, dataset='house', seed=42, epochs=1500, lr=0.05, weight_decay=0.0005, hidden=256, dropout=0.5, batch_size=128, tem=0.5, lam=1.0, pretrain_epochs=15, pretrain_lr=0.05, conditional=True, update_epochs=20, num_models=100, warmup=200, cuda=False)
Loading zoo dataset...
load features
load edges
hg: Hypergraph(num_v=101, num_e=41)
Run Train:   0%|          | 0/3 [00:00<?, ?it/s]/users/Min/miniconda/envs/hy/lib/python3.9/site-packages/torch/nn/functional.py:1967: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
Run:01 Epoch: 0001 loss_train: 37.9816 loss_val: 147.8797
Run:01 Epoch: 0002 loss_train: 143.6738 loss_val: 864.7687
Run:01 Epoch: 0003 loss_train: 750.4514 loss_val: 992.3519
Run:01 Epoch: 0004 loss_train: 1075.0077 loss_val: 835.8946
Run:01 Epoch: 0005 loss_train: 941.2722 loss_val: 506.8614
Run:01 Epoch: 0006 loss_train: 551.1464 loss_val: 41.5417
Run:01 Epoch: 0007 loss_train: 35.3920 loss_val: 173.2674
Run:01 Epoch: 0008 loss_train: 147.2874 loss_val: 209.9322
Run:01 Epoch: 0009 loss_train: 169.6286 loss_val: 121.8252
Run:01 Epoch: 0010 loss_train: 91.1564 loss_val: 43.8382
Run:01 Epoch: 0011 loss_train: 27.6048 loss_val: 3.8634
Run:01 Epoch: 0012 loss_train: 2.7208 loss_val: 2.2209
Run:01 Epoch: 0013 loss_train: 2.1030 loss_val: 2.1677
Run:01 Epoch: 0014 loss_train: 2.0511 loss_val: 2.1326
Run:01 Epoch: 0015 loss_train: 1.9960 loss_val: 2.1248
Run:01 Epoch: 0016 loss_train: 1.9761 loss_val: 2.1478
Run:01 Epoch: 0017 loss_train: 2.0190 loss_val: 2.2028
Run:01 Epoch: 0018 loss_train: 2.0892 loss_val: 2.2820
Run:01 Epoch: 0019 loss_train: 2.1499 loss_val: 2.3631
Run:01 Epoch: 0020 loss_train: 2.1963 loss_val: 2.4219
Run:01 Epoch: 0021 loss_train: 2.2202 loss_val: 2.4457
Run:01 Epoch: 0022 loss_train: 2.2128 loss_val: 2.4359
Run:01 Epoch: 0023 loss_train: 2.1749 loss_val: 2.4018
Run:01 Epoch: 0024 loss_train: 2.1137 loss_val: 2.3540
Run:01 Epoch: 0025 loss_train: 2.0375 loss_val: 2.2988
Run:01 Epoch: 0026 loss_train: 1.9559 loss_val: 2.2393
Run:01 Epoch: 0027 loss_train: 1.8798 loss_val: 2.1779
Run:01 Epoch: 0028 loss_train: 1.8167 loss_val: 2.1186
Run:01 Epoch: 0029 loss_train: 1.7688 loss_val: 2.0663
Run:01 Epoch: 0030 loss_train: 1.7354 loss_val: 2.0241
Run:01 Epoch: 0031 loss_train: 1.7144 loss_val: 1.9927
Run:01 Epoch: 0032 loss_train: 1.7033 loss_val: 1.9699
Run:01 Epoch: 0033 loss_train: 1.6991 loss_val: 1.9521
Run:01 Epoch: 0034 loss_train: 1.6986 loss_val: 1.9359
