args
 Namespace(samples=4, concat=10, runs=3, latent_size=10, dataset='house', seed=42, epochs=1500, lr=0.01, weight_decay=0, hidden=64, dropout=0.5, batch_size=128, tem=0.5, lam=1.0, pretrain_epochs=10, pretrain_lr=0.01, conditional=True, update_epochs=20, num_models=100, warmup=200, cuda=False)
Loading zoo dataset...
load features
load edges
hg: Hypergraph(num_v=101, num_e=41)
Run Train:   0%|          | 0/3 [00:00<?, ?it/s]/users/Min/miniconda/envs/hy/lib/python3.9/site-packages/torch/nn/functional.py:1967: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
Run:01 Epoch: 0001 loss_train: 35.7844 loss_val: 57.1670
Run:01 Epoch: 0002 loss_train: 51.2355 loss_val: 89.3501
Run:01 Epoch: 0003 loss_train: 64.8015 loss_val: 119.2689
Run:01 Epoch: 0004 loss_train: 110.3850 loss_val: 153.2303
Run:01 Epoch: 0005 loss_train: 142.8294 loss_val: 151.9454
Run:01 Epoch: 0006 loss_train: 136.9792 loss_val: 166.3031
Run:01 Epoch: 0007 loss_train: 146.9156 loss_val: 127.6314
Run:01 Epoch: 0008 loss_train: 108.7970 loss_val: 108.9565
Run:01 Epoch: 0009 loss_train: 89.8566 loss_val: 83.0177
Run:01 Epoch: 0010 loss_train: 63.4859 loss_val: 59.9338
Run:01 Epoch: 0011 loss_train: 42.1354 loss_val: 44.0255
Run:01 Epoch: 0012 loss_train: 28.2162 loss_val: 33.4481
Run:01 Epoch: 0013 loss_train: 21.0937 loss_val: 26.6971
Run:01 Epoch: 0014 loss_train: 17.5146 loss_val: 17.9098
Run:01 Epoch: 0015 loss_train: 11.8578 loss_val: 11.0196
Run:01 Epoch: 0016 loss_train: 7.6148 loss_val: 6.4812
Run:01 Epoch: 0017 loss_train: 4.4910 loss_val: 3.2619
Run:01 Epoch: 0018 loss_train: 2.4318 loss_val: 2.0443
Run:01 Epoch: 0019 loss_train: 1.9210 loss_val: 2.0322
Run:01 Epoch: 0020 loss_train: 1.9258 loss_val: 2.0017
Run:01 Epoch: 0021 loss_train: 1.9111 loss_val: 1.9710
Run:01 Epoch: 0022 loss_train: 1.8949 loss_val: 1.9410
Run:01 Epoch: 0023 loss_train: 1.8782 loss_val: 1.9122
Run:01 Epoch: 0024 loss_train: 1.8622 loss_val: 1.8853
Run:01 Epoch: 0025 loss_train: 1.8481 loss_val: 1.8609
Run:01 Epoch: 0026 loss_train: 1.8367 loss_val: 1.8395
Run:01 Epoch: 0027 loss_train: 1.8285 loss_val: 1.8214
Run:01 Epoch: 0028 loss_train: 1.8235 loss_val: 1.8071
Run:01 Epoch: 0029 loss_train: 1.8213 loss_val: 1.7966
Run:01 Epoch: 0030 loss_train: 1.8213 loss_val: 1.7900
Run:01 Epoch: 0031 loss_train: 1.8229 loss_val: 1.7874
Run:01 Epoch: 0032 loss_train: 1.8257 loss_val: 1.7886
Run:01 Epoch: 0033 loss_train: 1.8294 loss_val: 1.7932
Run:01 Epoch: 0034 loss_train: 1.8338 loss_val: 1.8008
Run:01 Epoch: 0035 loss_train: 1.8386 loss_val: 1.8112
Run:01 Epoch: 0036 loss_train: 1.8439 loss_val: 1.8236
Run:01 Epoch: 0037 loss_train: 1.8495 loss_val: 1.8376
Run:01 Epoch: 0038 loss_train: 1.8552 loss_val: 1.8525
Run:01 Epoch: 0039 loss_train: 1.8610 loss_val: 1.8679
Run:01 Epoch: 0040 loss_train: 1.8665 loss_val: 1.8832
Run:01 Epoch: 0041 loss_train: 1.8715 loss_val: 1.8979
Run:01 Epoch: 0042 loss_train: 1.8759 loss_val: 1.9116
Run:01 Epoch: 0043 loss_train: 1.8793 loss_val: 1.9240
Run:01 Epoch: 0044 loss_train: 1.8817 loss_val: 1.9348
Run:01 Epoch: 0045 loss_train: 1.8829 loss_val: 1.9441
Run:01 Epoch: 0046 loss_train: 1.8828 loss_val: 1.9517
Run:01 Epoch: 0047 loss_train: 1.8815 loss_val: 1.9577
Run:01 Epoch: 0048 loss_train: 1.8790 loss_val: 1.9621
Run:01 Epoch: 0049 loss_train: 1.8753 loss_val: 1.9651
Run:01 Epoch: 0050 loss_train: 1.8706 loss_val: 1.9669
Run:01 Epoch: 0051 loss_train: 1.8650 loss_val: 1.9677
Run:01 Epoch: 0052 loss_train: 1.8587 loss_val: 1.9675
Run:01 Epoch: 0053 loss_train: 1.8519 loss_val: 1.9667
Run:01 Epoch: 0054 loss_train: 1.8448 loss_val: 1.9652
Run:01 Epoch: 0055 loss_train: 1.8374 loss_val: 1.9633
Run:01 Epoch: 0056 loss_train: 1.8301 loss_val: 1.9610
Run:01 Epoch: 0057 loss_train: 1.8230 loss_val: 1.9584
Run:01 Epoch: 0058 loss_train: 1.8161 loss_val: 1.9556
Run:01 Epoch: 0059 loss_train: 1.8096 loss_val: 1.9526
Run:01 Epoch: 0060 loss_train: 1.8037 loss_val: 1.9495
Run:01 Epoch: 0061 loss_train: 1.7983 loss_val: 1.9464
Run:01 Epoch: 0062 loss_train: 1.7936 loss_val: 1.9431
Run:01 Epoch: 0063 loss_train: 1.7895 loss_val: 1.9399
Run:01 Epoch: 0064 loss_train: 1.7862 loss_val: 1.9367
Run:01 Epoch: 0065 loss_train: 1.7835 loss_val: 1.9335
Run:01 Epoch: 0066 loss_train: 1.7815 loss_val: 1.9304
Run:01 Epoch: 0067 loss_train: 1.7801 loss_val: 1.9274
Run:01 Epoch: 0068 loss_train: 1.7794 loss_val: 1.9246
Run:01 Epoch: 0069 loss_train: 1.7793 loss_val: 1.9219
Run:01 Epoch: 0070 loss_train: 1.7797 loss_val: 1.9194
