args
 Namespace(samples=4, concat=2, runs=1, latent_size=10, dataset='cocitationciteseer', seed=42, epochs=1000, lr=0.001, weight_decay=0.0005, hidden=64, dropout=0.5, batch_size=128, tem=0.5, lam=1.0, pretrain_epochs=8, pretrain_lr=0.05, conditional=True, update_epochs=20, num_models=100, warmup=200, cuda=False)
This is cocitation_citeseer dataset:
  ->  num_classes
  ->  num_vertices
  ->  num_edges
  ->  dim_features
  ->  features
  ->  edge_list
  ->  labels
  ->  train_mask
  ->  val_mask
  ->  test_mask
Please try `data['name']` to get the specified data.
Run Train:   0%|          | 0/1 [00:00<?, ?it/s]/users/Min/miniconda/envs/hy/lib/python3.9/site-packages/torch/nn/functional.py:1967: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
Run:01 Epoch: 0001 loss_train: 1.8234 loss_val: 1.7980
Run:01 Epoch: 0002 loss_train: 1.8019 loss_val: 1.7747
Run:01 Epoch: 0003 loss_train: 1.7839 loss_val: 1.7635
Run:01 Epoch: 0004 loss_train: 1.7758 loss_val: 1.7574
Run:01 Epoch: 0005 loss_train: 1.7698 loss_val: 1.7536
Run:01 Epoch: 0006 loss_train: 1.7667 loss_val: 1.7511
Run:01 Epoch: 0007 loss_train: 1.7663 loss_val: 1.7491
Run:01 Epoch: 0008 loss_train: 1.7622 loss_val: 1.7472
Run:01 Epoch: 0009 loss_train: 1.7603 loss_val: 1.7450
Run:01 Epoch: 0010 loss_train: 1.7597 loss_val: 1.7420
Run:01 Epoch: 0011 loss_train: 1.7579 loss_val: 1.7388
Run:01 Epoch: 0012 loss_train: 1.7521 loss_val: 1.7357
Run:01 Epoch: 0013 loss_train: 1.7485 loss_val: 1.7324
Run:01 Epoch: 0014 loss_train: 1.7447 loss_val: 1.7290
Run:01 Epoch: 0015 loss_train: 1.7448 loss_val: 1.7257
Run:01 Epoch: 0016 loss_train: 1.7367 loss_val: 1.7226
Run:01 Epoch: 0017 loss_train: 1.7308 loss_val: 1.7198
Run:01 Epoch: 0018 loss_train: 1.7272 loss_val: 1.7172
Run:01 Epoch: 0019 loss_train: 1.7252 loss_val: 1.7149
Run:01 Epoch: 0020 loss_train: 1.7211 loss_val: 1.7127
Run:01 Epoch: 0021 loss_train: 1.7181 loss_val: 1.7104
Run:01 Epoch: 0022 loss_train: 1.7129 loss_val: 1.7080
Run:01 Epoch: 0023 loss_train: 1.7112 loss_val: 1.7051
Run:01 Epoch: 0024 loss_train: 1.7076 loss_val: 1.7020
Run:01 Epoch: 0025 loss_train: 1.7073 loss_val: 1.6985
Run:01 Epoch: 0026 loss_train: 1.6997 loss_val: 1.6950
Run:01 Epoch: 0027 loss_train: 1.6977 loss_val: 1.6915
Run:01 Epoch: 0028 loss_train: 1.6941 loss_val: 1.6878
Run:01 Epoch: 0029 loss_train: 1.6907 loss_val: 1.6842
Run:01 Epoch: 0030 loss_train: 1.6882 loss_val: 1.6807
Run:01 Epoch: 0031 loss_train: 1.6828 loss_val: 1.6772
Run:01 Epoch: 0032 loss_train: 1.6796 loss_val: 1.6740
Run:01 Epoch: 0033 loss_train: 1.6736 loss_val: 1.6709
Run:01 Epoch: 0034 loss_train: 1.6700 loss_val: 1.6679
Run:01 Epoch: 0035 loss_train: 1.6678 loss_val: 1.6650
Run:01 Epoch: 0036 loss_train: 1.6617 loss_val: 1.6621
Run:01 Epoch: 0037 loss_train: 1.6595 loss_val: 1.6593
Run:01 Epoch: 0038 loss_train: 1.6568 loss_val: 1.6564
Run:01 Epoch: 0039 loss_train: 1.6504 loss_val: 1.6537
Run:01 Epoch: 0040 loss_train: 1.6491 loss_val: 1.6509
Run:01 Epoch: 0041 loss_train: 1.6427 loss_val: 1.6482
Run:01 Epoch: 0042 loss_train: 1.6392 loss_val: 1.6454
Run:01 Epoch: 0043 loss_train: 1.6355 loss_val: 1.6426
Run:01 Epoch: 0044 loss_train: 1.6308 loss_val: 1.6400
Run:01 Epoch: 0045 loss_train: 1.6267 loss_val: 1.6372
Run:01 Epoch: 0046 loss_train: 1.6241 loss_val: 1.6344
Run:01 Epoch: 0047 loss_train: 1.6197 loss_val: 1.6316
Run:01 Epoch: 0048 loss_train: 1.6159 loss_val: 1.6285
Run:01 Epoch: 0049 loss_train: 1.6121 loss_val: 1.6254
Run:01 Epoch: 0050 loss_train: 1.6081 loss_val: 1.6225
Run:01 Epoch: 0051 loss_train: 1.6069 loss_val: 1.6198
Run:01 Epoch: 0052 loss_train: 1.6002 loss_val: 1.6170
Run:01 Epoch: 0053 loss_train: 1.5964 loss_val: 1.6144
Run:01 Epoch: 0054 loss_train: 1.5942 loss_val: 1.6119
Run:01 Epoch: 0055 loss_train: 1.5906 loss_val: 1.6084
Run:01 Epoch: 0056 loss_train: 1.5846 loss_val: 1.6054
Run:01 Epoch: 0057 loss_train: 1.5831 loss_val: 1.6026
Run:01 Epoch: 0058 loss_train: 1.5786 loss_val: 1.5999
Run:01 Epoch: 0059 loss_train: 1.5768 loss_val: 1.5972
Run:01 Epoch: 0060 loss_train: 1.5710 loss_val: 1.5946
Run:01 Epoch: 0061 loss_train: 1.5682 loss_val: 1.5921
Run:01 Epoch: 0062 loss_train: 1.5613 loss_val: 1.5897
Run:01 Epoch: 0063 loss_train: 1.5597 loss_val: 1.5873
Run:01 Epoch: 0064 loss_train: 1.5581 loss_val: 1.5853
Run:01 Epoch: 0065 loss_train: 1.5513 loss_val: 1.5831
Run:01 Epoch: 0066 loss_train: 1.5485 loss_val: 1.5803
Run:01 Epoch: 0067 loss_train: 1.5455 loss_val: 1.5775
Run:01 Epoch: 0068 loss_train: 1.5431 loss_val: 1.5747
Run:01 Epoch: 0069 loss_train: 1.5391 loss_val: 1.5716
Run:01 Epoch: 0070 loss_train: 1.5325 loss_val: 1.5686
Run:01 Epoch: 0071 loss_train: 1.5302 loss_val: 1.5656
Run:01 Epoch: 0072 loss_train: 1.5274 loss_val: 1.5628
Run:01 Epoch: 0073 loss_train: 1.5265 loss_val: 1.5602
Run:01 Epoch: 0074 loss_train: 1.5223 loss_val: 1.5578
Run:01 Epoch: 0075 loss_train: 1.5183 loss_val: 1.5557
Run:01 Epoch: 0076 loss_train: 1.5137 loss_val: 1.5541
Run:01 Epoch: 0077 loss_train: 1.5099 loss_val: 1.5520
Run:01 Epoch: 0078 loss_train: 1.5061 loss_val: 1.5499
Run:01 Epoch: 0079 loss_train: 1.5047 loss_val: 1.5478
Run:01 Epoch: 0080 loss_train: 1.5007 loss_val: 1.5459
Run:01 Epoch: 0081 loss_train: 1.4970 loss_val: 1.5435
Run:01 Epoch: 0082 loss_train: 1.4921 loss_val: 1.5407
Run:01 Epoch: 0083 loss_train: 1.4882 loss_val: 1.5373
Run:01 Epoch: 0084 loss_train: 1.4862 loss_val: 1.5338
Run:01 Epoch: 0085 loss_train: 1.4824 loss_val: 1.5305
Run:01 Epoch: 0086 loss_train: 1.4785 loss_val: 1.5275
Run:01 Epoch: 0087 loss_train: 1.4781 loss_val: 1.5249
Run:01 Epoch: 0088 loss_train: 1.4749 loss_val: 1.5228
Run:01 Epoch: 0089 loss_train: 1.4770 loss_val: 1.5201
Run:01 Epoch: 0090 loss_train: 1.4692 loss_val: 1.5180
Run:01 Epoch: 0091 loss_train: 1.4627 loss_val: 1.5161
Run:01 Epoch: 0092 loss_train: 1.4630 loss_val: 1.5144
Run:01 Epoch: 0093 loss_train: 1.4591 loss_val: 1.5129
Run:01 Epoch: 0094 loss_train: 1.4533 loss_val: 1.5118
Run:01 Epoch: 0095 loss_train: 1.4523 loss_val: 1.5106
Run:01 Epoch: 0096 loss_train: 1.4517 loss_val: 1.5094
Run:01 Epoch: 0097 loss_train: 1.4477 loss_val: 1.5077
Run:01 Epoch: 0098 loss_train: 1.4447 loss_val: 1.5049
Run:01 Epoch: 0099 loss_train: 1.4424 loss_val: 1.5023
Run:01 Epoch: 0100 loss_train: 1.4392 loss_val: 1.4992
Run:01 Epoch: 0101 loss_train: 1.4347 loss_val: 1.4952
Run:01 Epoch: 0102 loss_train: 1.4301 loss_val: 1.4919
Run:01 Epoch: 0103 loss_train: 1.4316 loss_val: 1.4891
Run:01 Epoch: 0104 loss_train: 1.4281 loss_val: 1.4866
Run:01 Epoch: 0105 loss_train: 1.4248 loss_val: 1.4845
Run:01 Epoch: 0106 loss_train: 1.4240 loss_val: 1.4832
Run:01 Epoch: 0107 loss_train: 1.4191 loss_val: 1.4818
Run:01 Epoch: 0108 loss_train: 1.4169 loss_val: 1.4805
Run:01 Epoch: 0109 loss_train: 1.4110 loss_val: 1.4796
Run:01 Epoch: 0110 loss_train: 1.4066 loss_val: 1.4779
Run:01 Epoch: 0111 loss_train: 1.4045 loss_val: 1.4754
Run:01 Epoch: 0112 loss_train: 1.4019 loss_val: 1.4723
Run:01 Epoch: 0113 loss_train: 1.3999 loss_val: 1.4696
Run:01 Epoch: 0114 loss_train: 1.4000 loss_val: 1.4673
Run:01 Epoch: 0115 loss_train: 1.3960 loss_val: 1.4637
Run:01 Epoch: 0116 loss_train: 1.3907 loss_val: 1.4611
Run:01 Epoch: 0117 loss_train: 1.3892 loss_val: 1.4587
Run:01 Epoch: 0118 loss_train: 1.3885 loss_val: 1.4567
Run:01 Epoch: 0119 loss_train: 1.3872 loss_val: 1.4558
Run:01 Epoch: 0120 loss_train: 1.3821 loss_val: 1.4559
Run:01 Epoch: 0121 loss_train: 1.3780 loss_val: 1.4569
Run:01 Epoch: 0122 loss_train: 1.3746 loss_val: 1.4575
Run:01 Epoch: 0123 loss_train: 1.3740 loss_val: 1.4568
Run:01 Epoch: 0124 loss_train: 1.3717 loss_val: 1.4546
Run:01 Epoch: 0125 loss_train: 1.3702 loss_val: 1.4523
Run:01 Epoch: 0126 loss_train: 1.3677 loss_val: 1.4488
Run:01 Epoch: 0127 loss_train: 1.3684 loss_val: 1.4456
Run:01 Epoch: 0128 loss_train: 1.3642 loss_val: 1.4425
Run:01 Epoch: 0129 loss_train: 1.3588 loss_val: 1.4387
Run:01 Epoch: 0130 loss_train: 1.3576 loss_val: 1.4358
Run:01 Epoch: 0131 loss_train: 1.3591 loss_val: 1.4328
