args
 Namespace(samples=4, concat=10, runs=1, latent_size=10, dataset='cocitationciteseer', seed=42, epochs=1000, lr=0.001, weight_decay=0.0005, hidden=64, dropout=0.5, batch_size=128, tem=0.5, lam=1.0, pretrain_epochs=8, pretrain_lr=0.05, conditional=True, update_epochs=20, num_models=100, warmup=200, cuda=False)
This is cocitation_citeseer dataset:
  ->  num_classes
  ->  num_vertices
  ->  num_edges
  ->  dim_features
  ->  features
  ->  edge_list
  ->  labels
  ->  train_mask
  ->  val_mask
  ->  test_mask
Please try `data['name']` to get the specified data.
Run Train:   0%|          | 0/1 [00:00<?, ?it/s]/users/Min/miniconda/envs/hy/lib/python3.9/site-packages/torch/nn/functional.py:1967: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
Run:01 Epoch: 0001 loss_train: 1.7801 loss_val: 1.7581
Run:01 Epoch: 0002 loss_train: 1.7724 loss_val: 1.7561
Run:01 Epoch: 0003 loss_train: 1.7708 loss_val: 1.7565
Run:01 Epoch: 0004 loss_train: 1.7682 loss_val: 1.7565
Run:01 Epoch: 0005 loss_train: 1.7653 loss_val: 1.7560
Run:01 Epoch: 0006 loss_train: 1.7612 loss_val: 1.7554
Run:01 Epoch: 0007 loss_train: 1.7614 loss_val: 1.7548
Run:01 Epoch: 0008 loss_train: 1.7584 loss_val: 1.7541
Run:01 Epoch: 0009 loss_train: 1.7564 loss_val: 1.7532
Run:01 Epoch: 0010 loss_train: 1.7543 loss_val: 1.7518
Run:01 Epoch: 0011 loss_train: 1.7541 loss_val: 1.7505
Run:01 Epoch: 0012 loss_train: 1.7522 loss_val: 1.7489
Run:01 Epoch: 0013 loss_train: 1.7544 loss_val: 1.7466
Run:01 Epoch: 0014 loss_train: 1.7505 loss_val: 1.7439
Run:01 Epoch: 0015 loss_train: 1.7467 loss_val: 1.7408
Run:01 Epoch: 0016 loss_train: 1.7470 loss_val: 1.7372
Run:01 Epoch: 0017 loss_train: 1.7422 loss_val: 1.7336
Run:01 Epoch: 0018 loss_train: 1.7397 loss_val: 1.7304
Run:01 Epoch: 0019 loss_train: 1.7357 loss_val: 1.7270
Run:01 Epoch: 0020 loss_train: 1.7324 loss_val: 1.7240
Run:01 Epoch: 0021 loss_train: 1.7307 loss_val: 1.7213
Run:01 Epoch: 0022 loss_train: 1.7290 loss_val: 1.7186
Run:01 Epoch: 0023 loss_train: 1.7256 loss_val: 1.7161
Run:01 Epoch: 0024 loss_train: 1.7255 loss_val: 1.7137
Run:01 Epoch: 0025 loss_train: 1.7205 loss_val: 1.7116
Run:01 Epoch: 0026 loss_train: 1.7177 loss_val: 1.7096
Run:01 Epoch: 0027 loss_train: 1.7143 loss_val: 1.7077
Run:01 Epoch: 0028 loss_train: 1.7125 loss_val: 1.7057
Run:01 Epoch: 0029 loss_train: 1.7094 loss_val: 1.7038
Run:01 Epoch: 0030 loss_train: 1.7067 loss_val: 1.7020
Run:01 Epoch: 0031 loss_train: 1.7052 loss_val: 1.7002
Run:01 Epoch: 0032 loss_train: 1.7029 loss_val: 1.6978
Run:01 Epoch: 0033 loss_train: 1.6989 loss_val: 1.6951
Run:01 Epoch: 0034 loss_train: 1.6951 loss_val: 1.6920
Run:01 Epoch: 0035 loss_train: 1.6921 loss_val: 1.6888
Run:01 Epoch: 0036 loss_train: 1.6859 loss_val: 1.6856
Run:01 Epoch: 0037 loss_train: 1.6844 loss_val: 1.6821
Run:01 Epoch: 0038 loss_train: 1.6801 loss_val: 1.6784
Run:01 Epoch: 0039 loss_train: 1.6768 loss_val: 1.6749
Run:01 Epoch: 0040 loss_train: 1.6736 loss_val: 1.6718
Run:01 Epoch: 0041 loss_train: 1.6694 loss_val: 1.6687
Run:01 Epoch: 0042 loss_train: 1.6648 loss_val: 1.6660
Run:01 Epoch: 0043 loss_train: 1.6603 loss_val: 1.6632
Run:01 Epoch: 0044 loss_train: 1.6566 loss_val: 1.6600
Run:01 Epoch: 0045 loss_train: 1.6534 loss_val: 1.6567
Run:01 Epoch: 0046 loss_train: 1.6508 loss_val: 1.6536
