args
 Namespace(samples=4, concat=8, runs=3, latent_size=10, dataset='house', seed=42, epochs=1500, lr=0.05, weight_decay=0.0005, hidden=32, dropout=0.5, batch_size=128, tem=0.5, lam=1.0, pretrain_epochs=15, pretrain_lr=0.05, conditional=True, update_epochs=20, num_models=100, warmup=200, cuda=False)
Loading zoo dataset...
load features
load edges
hg: Hypergraph(num_v=101, num_e=41)
Run Train:   0%|          | 0/3 [00:00<?, ?it/s]/users/Min/miniconda/envs/hy/lib/python3.9/site-packages/torch/nn/functional.py:1967: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
Run:01 Epoch: 0001 loss_train: 5.1711 loss_val: 134.3029
Run:01 Epoch: 0002 loss_train: 125.4931 loss_val: 154.9908
Run:01 Epoch: 0003 loss_train: 136.3398 loss_val: 93.2971
Run:01 Epoch: 0004 loss_train: 80.0015 loss_val: 40.4833
Run:01 Epoch: 0005 loss_train: 32.6665 loss_val: 12.9454
Run:01 Epoch: 0006 loss_train: 23.5305 loss_val: 15.8226
Run:01 Epoch: 0007 loss_train: 25.1715 loss_val: 12.9936
Run:01 Epoch: 0008 loss_train: 15.2420 loss_val: 6.9343
Run:01 Epoch: 0009 loss_train: 5.7148 loss_val: 2.2175
Run:01 Epoch: 0010 loss_train: 2.0308 loss_val: 2.2423
Run:01 Epoch: 0011 loss_train: 2.0745 loss_val: 2.2616
Run:01 Epoch: 0012 loss_train: 2.1019 loss_val: 2.2610
Run:01 Epoch: 0013 loss_train: 2.1051 loss_val: 2.2323
Run:01 Epoch: 0014 loss_train: 2.0808 loss_val: 2.1785
Run:01 Epoch: 0015 loss_train: 2.0332 loss_val: 2.1123
Run:01 Epoch: 0016 loss_train: 1.9733 loss_val: 2.0503
Run:01 Epoch: 0017 loss_train: 1.9120 loss_val: 2.0051
Run:01 Epoch: 0018 loss_train: 1.8551 loss_val: 1.9803
Run:01 Epoch: 0019 loss_train: 1.8075 loss_val: 1.9730
Run:01 Epoch: 0020 loss_train: 1.7744 loss_val: 1.9774
Run:01 Epoch: 0021 loss_train: 1.7553 loss_val: 1.9871
Run:01 Epoch: 0022 loss_train: 1.7450 loss_val: 1.9963
Run:01 Epoch: 0023 loss_train: 1.7381 loss_val: 2.0017
Run:01 Epoch: 0024 loss_train: 1.7314 loss_val: 2.0035
Run:01 Epoch: 0025 loss_train: 1.7247 loss_val: 2.0046
Run:01 Epoch: 0026 loss_train: 1.7204 loss_val: 2.0081
Run:01 Epoch: 0027 loss_train: 1.7206 loss_val: 2.0152
Run:01 Epoch: 0028 loss_train: 1.7266 loss_val: 2.0243
Run:01 Epoch: 0029 loss_train: 1.7389 loss_val: 2.0323
Run:01 Epoch: 0030 loss_train: 1.7576 loss_val: 2.0363
Run:01 Epoch: 0031 loss_train: 1.7809 loss_val: 2.0349
Run:01 Epoch: 0032 loss_train: 1.8063 loss_val: 2.0280
Run:01 Epoch: 0033 loss_train: 1.8302 loss_val: 2.0164
Run:01 Epoch: 0034 loss_train: 1.8496 loss_val: 2.0006
Run:01 Epoch: 0035 loss_train: 1.8625 loss_val: 1.9815
Run:01 Epoch: 0036 loss_train: 1.8683 loss_val: 1.9604
Run:01 Epoch: 0037 loss_train: 1.8673 loss_val: 1.9394
Run:01 Epoch: 0038 loss_train: 1.8606 loss_val: 1.9206
Run:01 Epoch: 0039 loss_train: 1.8496 loss_val: 1.9058
Run:01 Epoch: 0040 loss_train: 1.8363 loss_val: 1.8957
Run:01 Epoch: 0041 loss_train: 1.8223 loss_val: 1.8908
Run:01 Epoch: 0042 loss_train: 1.8094 loss_val: 1.8905
Run:01 Epoch: 0043 loss_train: 1.7990 loss_val: 1.8941
Run:01 Epoch: 0044 loss_train: 1.7918 loss_val: 1.9006
Run:01 Epoch: 0045 loss_train: 1.7883 loss_val: 1.9085
Run:01 Epoch: 0046 loss_train: 1.7885 loss_val: 1.9166
Run:01 Epoch: 0047 loss_train: 1.7919 loss_val: 1.9236
Run:01 Epoch: 0048 loss_train: 1.7978 loss_val: 1.9283
Run:01 Epoch: 0049 loss_train: 1.8050 loss_val: 1.9301
Run:01 Epoch: 0050 loss_train: 1.8124 loss_val: 1.9290
Run:01 Epoch: 0051 loss_train: 1.8190 loss_val: 1.9250
Run:01 Epoch: 0052 loss_train: 1.8237 loss_val: 1.9190
Run:01 Epoch: 0053 loss_train: 1.8262 loss_val: 1.9120
Run:01 Epoch: 0054 loss_train: 1.8263 loss_val: 1.9050
Run:01 Epoch: 0055 loss_train: 1.8243 loss_val: 1.8991
Run:01 Epoch: 0056 loss_train: 1.8207 loss_val: 1.8951
Run:01 Epoch: 0057 loss_train: 1.8162 loss_val: 1.8932
Run:01 Epoch: 0058 loss_train: 1.8114 loss_val: 1.8937
Run:01 Epoch: 0059 loss_train: 1.8071 loss_val: 1.8963
Run:01 Epoch: 0060 loss_train: 1.8039 loss_val: 1.9008
Run:01 Epoch: 0061 loss_train: 1.8021 loss_val: 1.9063
Run:01 Epoch: 0062 loss_train: 1.8019 loss_val: 1.9122
Run:01 Epoch: 0063 loss_train: 1.8031 loss_val: 1.9175
Run:01 Epoch: 0064 loss_train: 1.8053 loss_val: 1.9217
Run:01 Epoch: 0065 loss_train: 1.8080 loss_val: 1.9240
Run:01 Epoch: 0066 loss_train: 1.8108 loss_val: 1.9246
Run:01 Epoch: 0067 loss_train: 1.8131 loss_val: 1.9233
Run:01 Epoch: 0068 loss_train: 1.8148 loss_val: 1.9209
Run:01 Epoch: 0069 loss_train: 1.8156 loss_val: 1.9177
Run:01 Epoch: 0070 loss_train: 1.8157 loss_val: 1.9144
Run:01 Epoch: 0071 loss_train: 1.8150 loss_val: 1.9117
Run:01 Epoch: 0072 loss_train: 1.8139 loss_val: 1.9098
Run:01 Epoch: 0073 loss_train: 1.8126 loss_val: 1.9091
Run:01 Epoch: 0074 loss_train: 1.8113 loss_val: 1.9095
Run:01 Epoch: 0075 loss_train: 1.8102 loss_val: 1.9108
Run:01 Epoch: 0076 loss_train: 1.8094 loss_val: 1.9129
Run:01 Epoch: 0077 loss_train: 1.8091 loss_val: 1.9153
Run:01 Epoch: 0078 loss_train: 1.8091 loss_val: 1.9177
Run:01 Epoch: 0079 loss_train: 1.8094 loss_val: 1.9195
Run:01 Epoch: 0080 loss_train: 1.8099 loss_val: 1.9205
Run:01 Epoch: 0081 loss_train: 1.8104 loss_val: 1.9206
Run:01 Epoch: 0082 loss_train: 1.8108 loss_val: 1.9197
Run:01 Epoch: 0083 loss_train: 1.8110 loss_val: 1.9182
Run:01 Epoch: 0084 loss_train: 1.8110 loss_val: 1.9162
Run:01 Epoch: 0085 loss_train: 1.8109 loss_val: 1.9141
Run:01 Epoch: 0086 loss_train: 1.8106 loss_val: 1.9122
