args
 Namespace(samples=4, concat=4, runs=5, latent_size=10, dataset='highschool', seed=42, epochs=1000, lr=0.01, weight_decay=0.0005, hidden=20, dropout=0.5, batch_size=128, tem=0.5, lam=1.0, pretrain_epochs=15, pretrain_lr=0.05, conditional=True, update_epochs=20, num_models=100, warmup=200, cuda=False)
X dim: torch.Size([327, 327])
labels: 9
Run Train:   0%|          | 0/5 [00:00<?, ?it/s]/users/Min/miniconda/envs/hy/lib/python3.9/site-packages/torch/nn/functional.py:1967: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
Run:01 Epoch: 0001 loss_train: 2.2028 loss_val: 2.1947
Run:01 Epoch: 0002 loss_train: 2.1974 loss_val: 2.1912
Run:01 Epoch: 0003 loss_train: 2.1920 loss_val: 2.1868
Run:01 Epoch: 0004 loss_train: 2.1843 loss_val: 2.1815
Run:01 Epoch: 0005 loss_train: 2.1752 loss_val: 2.1757
Run:01 Epoch: 0006 loss_train: 2.1646 loss_val: 2.1696
Run:01 Epoch: 0007 loss_train: 2.1536 loss_val: 2.1632
Run:01 Epoch: 0008 loss_train: 2.1437 loss_val: 2.1561
Run:01 Epoch: 0009 loss_train: 2.1284 loss_val: 2.1479
Run:01 Epoch: 0010 loss_train: 2.1146 loss_val: 2.1383
Run:01 Epoch: 0011 loss_train: 2.1045 loss_val: 2.1252
Run:01 Epoch: 0012 loss_train: 2.0875 loss_val: 2.1090
Run:01 Epoch: 0013 loss_train: 2.0664 loss_val: 2.0889
Run:01 Epoch: 0014 loss_train: 2.0493 loss_val: 2.0660
Run:01 Epoch: 0015 loss_train: 2.0261 loss_val: 2.0389
Run:01 Epoch: 0016 loss_train: 2.0024 loss_val: 2.0075
Run:01 Epoch: 0017 loss_train: 1.9669 loss_val: 1.9731
Run:01 Epoch: 0018 loss_train: 1.9321 loss_val: 1.9356
Run:01 Epoch: 0019 loss_train: 1.8955 loss_val: 1.8934
Run:01 Epoch: 0020 loss_train: 1.8622 loss_val: 1.8482
Run:01 Epoch: 0021 loss_train: 1.8166 loss_val: 1.7994
Run:01 Epoch: 0022 loss_train: 1.7693 loss_val: 1.7471
Run:01 Epoch: 0023 loss_train: 1.7307 loss_val: 1.6868
Run:01 Epoch: 0024 loss_train: 1.6814 loss_val: 1.6290
Run:01 Epoch: 0025 loss_train: 1.6291 loss_val: 1.5635
Run:01 Epoch: 0026 loss_train: 1.5709 loss_val: 1.4996
Run:01 Epoch: 0027 loss_train: 1.5343 loss_val: 1.4314
Run:01 Epoch: 0028 loss_train: 1.4844 loss_val: 1.3678
Run:01 Epoch: 0029 loss_train: 1.4460 loss_val: 1.2984
Run:01 Epoch: 0030 loss_train: 1.3911 loss_val: 1.2340
Run:01 Epoch: 0031 loss_train: 1.3269 loss_val: 1.1680
Run:01 Epoch: 0032 loss_train: 1.2636 loss_val: 1.1042
Run:01 Epoch: 0033 loss_train: 1.2153 loss_val: 1.0404
Run:01 Epoch: 0034 loss_train: 1.1521 loss_val: 0.9788
Run:01 Epoch: 0035 loss_train: 1.0991 loss_val: 0.9187
Run:01 Epoch: 0036 loss_train: 1.0493 loss_val: 0.8584
Run:01 Epoch: 0037 loss_train: 0.9833 loss_val: 0.8008
Run:01 Epoch: 0038 loss_train: 0.9606 loss_val: 0.7387
Run:01 Epoch: 0039 loss_train: 0.8856 loss_val: 0.6825
Run:01 Epoch: 0040 loss_train: 0.8207 loss_val: 0.6257
Run:01 Epoch: 0041 loss_train: 0.7715 loss_val: 0.5725
Run:01 Epoch: 0042 loss_train: 0.7189 loss_val: 0.5228
Run:01 Epoch: 0043 loss_train: 0.6689 loss_val: 0.4837
Run:01 Epoch: 0044 loss_train: 0.6210 loss_val: 0.4438
Run:01 Epoch: 0045 loss_train: 0.5620 loss_val: 0.4108
Run:01 Epoch: 0046 loss_train: 0.5511 loss_val: 0.3801
Run:01 Epoch: 0047 loss_train: 0.5088 loss_val: 0.3493
Run:01 Epoch: 0048 loss_train: 0.4785 loss_val: 0.3202
Run:01 Epoch: 0049 loss_train: 0.4572 loss_val: 0.2938
Run:01 Epoch: 0050 loss_train: 0.4141 loss_val: 0.2684
Run:01 Epoch: 0051 loss_train: 0.3814 loss_val: 0.2464
Run:01 Epoch: 0052 loss_train: 0.3671 loss_val: 0.2289
Run:01 Epoch: 0053 loss_train: 0.3276 loss_val: 0.2096
Run:01 Epoch: 0054 loss_train: 0.3371 loss_val: 0.1935
Run:01 Epoch: 0055 loss_train: 0.3218 loss_val: 0.1802
Run:01 Epoch: 0056 loss_train: 0.2984 loss_val: 0.1700
Run:01 Epoch: 0057 loss_train: 0.2737 loss_val: 0.1633
Run:01 Epoch: 0058 loss_train: 0.2749 loss_val: 0.1578
Run:01 Epoch: 0059 loss_train: 0.2350 loss_val: 0.1484
Run:01 Epoch: 0060 loss_train: 0.2295 loss_val: 0.1374
Run:01 Epoch: 0061 loss_train: 0.2152 loss_val: 0.1275
Run:01 Epoch: 0062 loss_train: 0.2279 loss_val: 0.1187
Run:01 Epoch: 0063 loss_train: 0.2013 loss_val: 0.1130
Run:01 Epoch: 0064 loss_train: 0.1969 loss_val: 0.1077
Run:01 Epoch: 0065 loss_train: 0.1972 loss_val: 0.1052
Run:01 Epoch: 0066 loss_train: 0.1747 loss_val: 0.1031
Run:01 Epoch: 0067 loss_train: 0.1719 loss_val: 0.1010
Run:01 Epoch: 0068 loss_train: 0.1598 loss_val: 0.0994
Run:01 Epoch: 0069 loss_train: 0.1755 loss_val: 0.0969
Run:01 Epoch: 0070 loss_train: 0.1616 loss_val: 0.0947
Run:01 Epoch: 0071 loss_train: 0.1556 loss_val: 0.0927
Run:01 Epoch: 0072 loss_train: 0.1746 loss_val: 0.0899
Run:01 Epoch: 0073 loss_train: 0.1460 loss_val: 0.0884
Run:01 Epoch: 0074 loss_train: 0.1528 loss_val: 0.0864
Run:01 Epoch: 0075 loss_train: 0.1489 loss_val: 0.0866
Run:01 Epoch: 0076 loss_train: 0.1490 loss_val: 0.0852
Run:01 Epoch: 0077 loss_train: 0.1316 loss_val: 0.0852
Run:01 Epoch: 0078 loss_train: 0.1449 loss_val: 0.0856
Run:01 Epoch: 0079 loss_train: 0.1345 loss_val: 0.0862
Run:01 Epoch: 0080 loss_train: 0.1318 loss_val: 0.0850
Run:01 Epoch: 0081 loss_train: 0.1395 loss_val: 0.0828
Run:01 Epoch: 0082 loss_train: 0.1334 loss_val: 0.0831
Run:01 Epoch: 0083 loss_train: 0.1310 loss_val: 0.0825
Run:01 Epoch: 0084 loss_train: 0.1337 loss_val: 0.0830
Run:01 Epoch: 0085 loss_train: 0.1372 loss_val: 0.0823
Run:01 Epoch: 0086 loss_train: 0.1198 loss_val: 0.0828
Run:01 Epoch: 0087 loss_train: 0.1310 loss_val: 0.0828
Run:01 Epoch: 0088 loss_train: 0.1234 loss_val: 0.0849
Run:01 Epoch: 0089 loss_train: 0.1332 loss_val: 0.0848
Run:01 Epoch: 0090 loss_train: 0.1308 loss_val: 0.0853
Run:01 Epoch: 0091 loss_train: 0.1228 loss_val: 0.0863
