args
 Namespace(samples=4, concat=10, runs=1, latent_size=20, dataset='cocitationciteseer', seed=42, epochs=1500, lr=0.001, weight_decay=0.0005, hidden=128, dropout=0.5, batch_size=64, tem=0.5, lam=1.0, pretrain_epochs=6, pretrain_lr=0.01, conditional=True, update_epochs=10, num_models=100, warmup=200, cuda=False)
This is cocitation_citeseer dataset:
  ->  num_classes
  ->  num_vertices
  ->  num_edges
  ->  dim_features
  ->  features
  ->  edge_list
  ->  labels
  ->  train_mask
  ->  val_mask
  ->  test_mask
Please try `data['name']` to get the specified data.
Run Train:   0%|          | 0/1 [00:00<?, ?it/s]/users/Min/miniconda/envs/hy/lib/python3.9/site-packages/torch/nn/functional.py:1967: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
Run:01 Epoch: 0001 loss_train: 1.8164 loss_val: 1.7744
Run:01 Epoch: 0002 loss_train: 1.7832 loss_val: 1.7648
Run:01 Epoch: 0003 loss_train: 1.7780 loss_val: 1.7696
Run:01 Epoch: 0004 loss_train: 1.7779 loss_val: 1.7737
Run:01 Epoch: 0005 loss_train: 1.7779 loss_val: 1.7742
Run:01 Epoch: 0006 loss_train: 1.7751 loss_val: 1.7709
Run:01 Epoch: 0007 loss_train: 1.7691 loss_val: 1.7659
Run:01 Epoch: 0008 loss_train: 1.7625 loss_val: 1.7607
Run:01 Epoch: 0009 loss_train: 1.7553 loss_val: 1.7558
Run:01 Epoch: 0010 loss_train: 1.7527 loss_val: 1.7512
Run:01 Epoch: 0011 loss_train: 1.7502 loss_val: 1.7476
Run:01 Epoch: 0012 loss_train: 1.7481 loss_val: 1.7447
Run:01 Epoch: 0013 loss_train: 1.7473 loss_val: 1.7426
Run:01 Epoch: 0014 loss_train: 1.7467 loss_val: 1.7419
Run:01 Epoch: 0015 loss_train: 1.7450 loss_val: 1.7421
Run:01 Epoch: 0016 loss_train: 1.7454 loss_val: 1.7421
Run:01 Epoch: 0017 loss_train: 1.7437 loss_val: 1.7410
Run:01 Epoch: 0018 loss_train: 1.7414 loss_val: 1.7381
Run:01 Epoch: 0019 loss_train: 1.7377 loss_val: 1.7335
Run:01 Epoch: 0020 loss_train: 1.7346 loss_val: 1.7279
Run:01 Epoch: 0021 loss_train: 1.7303 loss_val: 1.7225
Run:01 Epoch: 0022 loss_train: 1.7267 loss_val: 1.7182
Run:01 Epoch: 0023 loss_train: 1.7229 loss_val: 1.7147
Run:01 Epoch: 0024 loss_train: 1.7218 loss_val: 1.7124
Run:01 Epoch: 0025 loss_train: 1.7192 loss_val: 1.7107
Run:01 Epoch: 0026 loss_train: 1.7166 loss_val: 1.7091
Run:01 Epoch: 0027 loss_train: 1.7118 loss_val: 1.7076
Run:01 Epoch: 0028 loss_train: 1.7085 loss_val: 1.7057
Run:01 Epoch: 0029 loss_train: 1.7048 loss_val: 1.7030
Run:01 Epoch: 0030 loss_train: 1.7009 loss_val: 1.6995
Run:01 Epoch: 0031 loss_train: 1.6968 loss_val: 1.6955
Run:01 Epoch: 0032 loss_train: 1.6921 loss_val: 1.6910
Run:01 Epoch: 0033 loss_train: 1.6872 loss_val: 1.6865
Run:01 Epoch: 0034 loss_train: 1.6841 loss_val: 1.6826
Run:01 Epoch: 0035 loss_train: 1.6799 loss_val: 1.6785
Run:01 Epoch: 0036 loss_train: 1.6759 loss_val: 1.6745
Run:01 Epoch: 0037 loss_train: 1.6707 loss_val: 1.6709
Run:01 Epoch: 0038 loss_train: 1.6655 loss_val: 1.6672
Run:01 Epoch: 0039 loss_train: 1.6613 loss_val: 1.6631
Run:01 Epoch: 0040 loss_train: 1.6547 loss_val: 1.6590
Run:01 Epoch: 0041 loss_train: 1.6516 loss_val: 1.6546
Run:01 Epoch: 0042 loss_train: 1.6447 loss_val: 1.6503
Run:01 Epoch: 0043 loss_train: 1.6400 loss_val: 1.6461
Run:01 Epoch: 0044 loss_train: 1.6351 loss_val: 1.6422
Run:01 Epoch: 0045 loss_train: 1.6308 loss_val: 1.6381
