args
 Namespace(samples=4, concat=10, runs=3, latent_size=10, dataset='coauthorcora', seed=42, epochs=1500, lr=0.01, weight_decay=0.0005, hidden=64, dropout=0.5, batch_size=128, tem=0.5, lam=1.0, pretrain_epochs=8, pretrain_lr=0.05, conditional=True, update_epochs=20, num_models=100, warmup=200, cuda=False)
This is coauthorship_cora dataset:
  ->  num_classes
  ->  num_vertices
  ->  num_edges
  ->  dim_features
  ->  features
  ->  edge_list
  ->  labels
  ->  train_mask
  ->  val_mask
  ->  test_mask
Please try `data['name']` to get the specified data.
Run Train:   0%|          | 0/3 [00:00<?, ?it/s]/users/Min/miniconda/envs/hy/lib/python3.9/site-packages/torch/nn/functional.py:1967: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
Run:01 Epoch: 0001 loss_train: 1.9631 loss_val: 1.9294
Run:01 Epoch: 0002 loss_train: 1.9379 loss_val: 1.9600
Run:01 Epoch: 0003 loss_train: 2.0183 loss_val: 1.8410
Run:01 Epoch: 0004 loss_train: 1.8621 loss_val: 1.8081
Run:01 Epoch: 0005 loss_train: 1.8218 loss_val: 1.7867
Run:01 Epoch: 0006 loss_train: 1.8130 loss_val: 1.7636
Run:01 Epoch: 0007 loss_train: 1.7963 loss_val: 1.6579
Run:01 Epoch: 0008 loss_train: 1.6771 loss_val: 1.5593
Run:01 Epoch: 0009 loss_train: 1.5706 loss_val: 1.4842
Run:01 Epoch: 0010 loss_train: 1.4904 loss_val: 1.4306
Run:01 Epoch: 0011 loss_train: 1.4223 loss_val: 1.3241
Run:01 Epoch: 0012 loss_train: 1.3194 loss_val: 1.2457
Run:01 Epoch: 0013 loss_train: 1.2329 loss_val: 1.1980
Run:01 Epoch: 0014 loss_train: 1.1648 loss_val: 1.1533
Run:01 Epoch: 0015 loss_train: 1.1126 loss_val: 1.1165
Run:01 Epoch: 0016 loss_train: 1.0704 loss_val: 1.0929
Run:01 Epoch: 0017 loss_train: 1.0207 loss_val: 1.0539
Run:01 Epoch: 0018 loss_train: 0.9877 loss_val: 1.0371
Run:01 Epoch: 0019 loss_train: 0.9590 loss_val: 1.0546
Run:01 Epoch: 0020 loss_train: 0.9485 loss_val: 1.0069
Run:01 Epoch: 0021 loss_train: 0.9200 loss_val: 1.0032
Run:01 Epoch: 0022 loss_train: 0.9137 loss_val: 1.0102
Run:01 Epoch: 0023 loss_train: 0.8909 loss_val: 0.9778
Run:01 Epoch: 0024 loss_train: 0.8698 loss_val: 0.9756
Run:01 Epoch: 0025 loss_train: 0.8496 loss_val: 0.9748
Run:01 Epoch: 0026 loss_train: 0.8321 loss_val: 0.9481
Run:01 Epoch: 0027 loss_train: 0.8082 loss_val: 0.9307
Run:01 Epoch: 0028 loss_train: 0.7986 loss_val: 0.9494
Run:01 Epoch: 0029 loss_train: 0.7868 loss_val: 0.9206
Run:01 Epoch: 0030 loss_train: 0.7518 loss_val: 0.8991
Run:01 Epoch: 0031 loss_train: 0.7282 loss_val: 0.8797
Run:01 Epoch: 0032 loss_train: 0.7217 loss_val: 0.8791
Run:01 Epoch: 0033 loss_train: 0.7076 loss_val: 0.8439
Run:01 Epoch: 0034 loss_train: 0.6913 loss_val: 0.8451
Run:01 Epoch: 0035 loss_train: 0.6747 loss_val: 0.8545
Run:01 Epoch: 0036 loss_train: 0.6730 loss_val: 0.8374
Run:01 Epoch: 0037 loss_train: 0.6467 loss_val: 0.8151
Run:01 Epoch: 0038 loss_train: 0.6326 loss_val: 0.8211
Run:01 Epoch: 0039 loss_train: 0.6234 loss_val: 0.8133
Run:01 Epoch: 0040 loss_train: 0.6181 loss_val: 0.7985
