args
 Namespace(samples=4, concat=4, runs=3, latent_size=10, dataset='highschool', seed=42, epochs=1000, lr=0.01, weight_decay=0.0005, hidden=20, dropout=0.5, batch_size=128, tem=0.5, lam=1.0, pretrain_epochs=15, pretrain_lr=0.05, conditional=True, update_epochs=20, num_models=100, warmup=200, cuda=False)
Hypergraph(num_v=327, num_e=7818)
X dim: torch.Size([327, 327])
labels: 9
Run Train:   0%|          | 0/3 [00:00<?, ?it/s]/users/Min/miniconda/envs/hy/lib/python3.9/site-packages/torch/nn/functional.py:1967: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
Run:01 Epoch: 0001 loss_train: 48.1311 loss_val: 40.3708
Run:01 Epoch: 0002 loss_train: 38.3801 loss_val: 30.6641
Run:01 Epoch: 0003 loss_train: 30.1653 loss_val: 14.3526
Run:01 Epoch: 0004 loss_train: 15.2984 loss_val: 4.1045
Run:01 Epoch: 0005 loss_train: 5.0535 loss_val: 2.2813
Run:01 Epoch: 0006 loss_train: 2.7046 loss_val: 0.5323
Run:01 Epoch: 0007 loss_train: 1.0898 loss_val: 0.6658
Run:01 Epoch: 0008 loss_train: 0.9597 loss_val: 0.7716
Run:01 Epoch: 0009 loss_train: 0.9029 loss_val: 0.7842
Run:01 Epoch: 0010 loss_train: 0.8144 loss_val: 0.6031
Run:01 Epoch: 0011 loss_train: 0.7674 loss_val: 0.4808
Run:01 Epoch: 0012 loss_train: 0.7885 loss_val: 0.8574
Run:01 Epoch: 0013 loss_train: 1.2707 loss_val: 0.4374
Run:01 Epoch: 0014 loss_train: 0.6178 loss_val: 0.4572
Run:01 Epoch: 0015 loss_train: 0.5733 loss_val: 0.4152
Run:01 Epoch: 0016 loss_train: 0.4928 loss_val: 0.3761
Run:01 Epoch: 0017 loss_train: 0.4206 loss_val: 0.3450
Run:01 Epoch: 0018 loss_train: 0.3967 loss_val: 0.3216
Run:01 Epoch: 0019 loss_train: 0.3860 loss_val: 0.3192
Run:01 Epoch: 0020 loss_train: 0.3387 loss_val: 0.3348
Run:01 Epoch: 0021 loss_train: 0.3274 loss_val: 0.3564
Run:01 Epoch: 0022 loss_train: 0.2752 loss_val: 0.3648
Run:01 Epoch: 0023 loss_train: 0.2581 loss_val: 0.3617
Run:01 Epoch: 0024 loss_train: 0.2573 loss_val: 0.3460
Run:01 Epoch: 0025 loss_train: 0.2052 loss_val: 0.3257
Run:01 Epoch: 0026 loss_train: 0.1960 loss_val: 0.2956
Run:01 Epoch: 0027 loss_train: 0.1823 loss_val: 0.2577
Run:01 Epoch: 0028 loss_train: 0.1798 loss_val: 0.2113
Run:01 Epoch: 0029 loss_train: 0.1481 loss_val: 0.1669
Run:01 Epoch: 0030 loss_train: 0.1511 loss_val: 0.1259
Run:01 Epoch: 0031 loss_train: 0.1362 loss_val: 0.0882
Run:01 Epoch: 0032 loss_train: 0.1243 loss_val: 0.0650
Run:01 Epoch: 0033 loss_train: 0.1190 loss_val: 0.0544
Run:01 Epoch: 0034 loss_train: 0.0987 loss_val: 0.0490
Run:01 Epoch: 0035 loss_train: 0.0951 loss_val: 0.0449
Run:01 Epoch: 0036 loss_train: 0.1052 loss_val: 0.0399
Run:01 Epoch: 0037 loss_train: 0.0732 loss_val: 0.0355
Run:01 Epoch: 0038 loss_train: 0.0754 loss_val: 0.0332
Run:01 Epoch: 0039 loss_train: 0.0632 loss_val: 0.0331
Run:01 Epoch: 0040 loss_train: 0.0738 loss_val: 0.0338
Run:01 Epoch: 0041 loss_train: 0.0691 loss_val: 0.0335
Run:01 Epoch: 0042 loss_train: 0.0807 loss_val: 0.0305
Run:01 Epoch: 0043 loss_train: 0.0636 loss_val: 0.0282
Run:01 Epoch: 0044 loss_train: 0.0661 loss_val: 0.0258
Run:01 Epoch: 0045 loss_train: 0.0437 loss_val: 0.0238
Run:01 Epoch: 0046 loss_train: 0.0611 loss_val: 0.0220
Run:01 Epoch: 0047 loss_train: 0.0479 loss_val: 0.0205
Run:01 Epoch: 0048 loss_train: 0.0435 loss_val: 0.0195
Run:01 Epoch: 0049 loss_train: 0.0456 loss_val: 0.0189
Run:01 Epoch: 0050 loss_train: 0.0436 loss_val: 0.0183
Run:01 Epoch: 0051 loss_train: 0.0410 loss_val: 0.0192
Run:01 Epoch: 0052 loss_train: 0.0410 loss_val: 0.0200
Run:01 Epoch: 0053 loss_train: 0.0486 loss_val: 0.0187
Run:01 Epoch: 0054 loss_train: 0.0510 loss_val: 0.0173
Run:01 Epoch: 0055 loss_train: 0.0733 loss_val: 0.0162
Run:01 Epoch: 0056 loss_train: 0.0406 loss_val: 0.0157
Run:01 Epoch: 0057 loss_train: 0.0297 loss_val: 0.0172
Run:01 Epoch: 0058 loss_train: 0.0329 loss_val: 0.0173
Run:01 Epoch: 0059 loss_train: 0.0334 loss_val: 0.0154
Run:01 Epoch: 0060 loss_train: 0.0335 loss_val: 0.0163
Run:01 Epoch: 0061 loss_train: 0.0266 loss_val: 0.0175
Run:01 Epoch: 0062 loss_train: 0.0860 loss_val: 0.0288
Run:01 Epoch: 0063 loss_train: 0.2429 loss_val: 0.0207
Run:01 Epoch: 0064 loss_train: 0.0604 loss_val: 0.0205
Run:01 Epoch: 0065 loss_train: 0.0711 loss_val: 0.0184
Run:01 Epoch: 0066 loss_train: 0.0604 loss_val: 0.0163
Run:01 Epoch: 0067 loss_train: 0.0531 loss_val: 0.0148
Run:01 Epoch: 0068 loss_train: 0.0312 loss_val: 0.0139
Run:01 Epoch: 0069 loss_train: 0.0395 loss_val: 0.0133
Run:01 Epoch: 0070 loss_train: 0.0426 loss_val: 0.0131
Run:01 Epoch: 0071 loss_train: 0.0442 loss_val: 0.0130
Run:01 Epoch: 0072 loss_train: 0.0296 loss_val: 0.0130
Run:01 Epoch: 0073 loss_train: 0.0278 loss_val: 0.0129
Run:01 Epoch: 0074 loss_train: 0.0449 loss_val: 0.0129
Run:01 Epoch: 0075 loss_train: 0.0319 loss_val: 0.0129
Run:01 Epoch: 0076 loss_train: 0.0193 loss_val: 0.0128
Run:01 Epoch: 0077 loss_train: 0.0268 loss_val: 0.0127
Run:01 Epoch: 0078 loss_train: 0.0283 loss_val: 0.0126
Run:01 Epoch: 0079 loss_train: 0.0219 loss_val: 0.0125
Run:01 Epoch: 0080 loss_train: 0.0173 loss_val: 0.0124
Run:01 Epoch: 0081 loss_train: 0.0216 loss_val: 0.0122
Run:01 Epoch: 0082 loss_train: 0.0274 loss_val: 0.0121
Run:01 Epoch: 0083 loss_train: 0.0201 loss_val: 0.0120
Run:01 Epoch: 0084 loss_train: 0.0217 loss_val: 0.0119
Run:01 Epoch: 0085 loss_train: 0.0168 loss_val: 0.0117
