args
 Namespace(samples=2, concat=10, runs=3, latent_size=10, dataset='house', seed=42, epochs=500, lr=0.01, weight_decay=0.0005, hidden=20, dropout=0.5, batch_size=128, tem=0.5, lam=1.0, pretrain_epochs=15, pretrain_lr=0.05, conditional=True, update_epochs=20, num_models=100, warmup=200, cuda=False)
This is house_committees dataset:
  ->  num_classes
  ->  num_vertices
  ->  num_edges
  ->  edge_list
  ->  labels
Please try `data['name']` to get the specified data.
Run Train:   0%|          | 0/3 [00:00<?, ?it/s]/users/Min/miniconda/envs/hy/lib/python3.9/site-packages/torch/nn/functional.py:1967: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
Run:01 Epoch: 0001 loss_train: 1.2342 loss_val: 1.0421
Run:01 Epoch: 0002 loss_train: 1.0509 loss_val: 1.8107
Run:01 Epoch: 0003 loss_train: 1.9201 loss_val: 0.7126
Run:01 Epoch: 0004 loss_train: 0.7987 loss_val: 0.9309
Run:01 Epoch: 0005 loss_train: 0.9645 loss_val: 1.0293
Run:01 Epoch: 0006 loss_train: 1.0552 loss_val: 0.7103
Run:01 Epoch: 0007 loss_train: 0.7433 loss_val: 0.9335
Run:01 Epoch: 0008 loss_train: 0.9230 loss_val: 0.7508
Run:01 Epoch: 0009 loss_train: 0.7969 loss_val: 0.7785
Run:01 Epoch: 0010 loss_train: 0.8187 loss_val: 0.8384
Run:01 Epoch: 0011 loss_train: 0.8751 loss_val: 0.7147
Run:01 Epoch: 0012 loss_train: 0.7238 loss_val: 0.7152
Run:01 Epoch: 0013 loss_train: 0.7182 loss_val: 0.7503
Run:01 Epoch: 0014 loss_train: 0.7653 loss_val: 0.7442
Run:01 Epoch: 0015 loss_train: 0.7513 loss_val: 0.7132
Run:01 Epoch: 0016 loss_train: 0.7141 loss_val: 0.7077
Run:01 Epoch: 0017 loss_train: 0.7044 loss_val: 0.7300
Run:01 Epoch: 0018 loss_train: 0.7343 loss_val: 0.7470
Run:01 Epoch: 0019 loss_train: 0.7565 loss_val: 0.7442
Run:01 Epoch: 0020 loss_train: 0.7548 loss_val: 0.7219
Run:01 Epoch: 0021 loss_train: 0.7261 loss_val: 0.7114
Run:01 Epoch: 0022 loss_train: 0.7036 loss_val: 0.7096
Run:01 Epoch: 0023 loss_train: 0.6998 loss_val: 0.7082
Run:01 Epoch: 0024 loss_train: 0.6965 loss_val: 0.7091
Run:01 Epoch: 0025 loss_train: 0.6974 loss_val: 0.7076
Run:01 Epoch: 0026 loss_train: 0.6934 loss_val: 0.7096
Run:01 Epoch: 0027 loss_train: 0.6978 loss_val: 0.7169
Run:01 Epoch: 0028 loss_train: 0.7055 loss_val: 0.7292
