/users/Min/miniconda/envs/hy/lib/python3.9/site-packages/torch/nn/functional.py:1967: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
args
 Namespace(samples=4, concat=10, runs=3, latent_size=10, dataset='coauthorcora', seed=42, epochs=200, lr=0.0005, weight_decay=0.0005, hidden=64, dropout=0.5, batch_size=128, tem=0.5, lam=1.0, pretrain_epochs=8, pretrain_lr=0.05, conditional=True, update_epochs=20, num_models=100, warmup=200, cuda=False)
This is coauthorship_cora dataset:
  ->  num_classes
  ->  num_vertices
  ->  num_edges
  ->  dim_features
  ->  features
  ->  edge_list
  ->  labels
  ->  train_mask
  ->  val_mask
  ->  test_mask
Please try `data['name']` to get the specified data.
Run Train:   0%|          | 0/3 [00:00<?, ?it/s]Run Train:  33%|███▎      | 1/3 [01:20<02:41, 80.65s/it]Run Train:  67%|██████▋   | 2/3 [02:38<01:19, 79.03s/it]Run Train: 100%|██████████| 3/3 [03:57<00:00, 79.15s/it]Run Train: 100%|██████████| 3/3 [03:57<00:00, 79.28s/it]
/users/Min/miniconda/envs/hy/lib/python3.9/site-packages/torch/nn/functional.py:1967: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
Run:01 Epoch: 0001 loss_train: 1.9514 loss_val: 1.9494
Run:01 Epoch: 0011 loss_train: 1.9357 loss_val: 1.9340
Run:01 Epoch: 0021 loss_train: 1.9144 loss_val: 1.9121
Run:01 Epoch: 0031 loss_train: 1.8896 loss_val: 1.8845
Run:01 Epoch: 0041 loss_train: 1.8754 loss_val: 1.8572
Run:01 Epoch: 0051 loss_train: 1.9059 loss_val: 1.8490
Run:01 Epoch: 0061 loss_train: 1.9878 loss_val: 1.8857
Run:01 Epoch: 0071 loss_train: 2.0180 loss_val: 1.9019
Run:01 Epoch: 0081 loss_train: 1.9796 loss_val: 1.8681
Run:01 Epoch: 0091 loss_train: 1.9539 loss_val: 1.8488
Run:01 Epoch: 0101 loss_train: 1.9403 loss_val: 1.8365
Run:01 Epoch: 0111 loss_train: 1.9164 loss_val: 1.8147
Run:01 Epoch: 0121 loss_train: 1.8829 loss_val: 1.7862
Run:01 Epoch: 0131 loss_train: 1.8458 loss_val: 1.7550
Run:01 Epoch: 0141 loss_train: 1.8026 loss_val: 1.7195
Run:01 Epoch: 0151 loss_train: 1.7542 loss_val: 1.6806
Run:01 Epoch: 0161 loss_train: 1.7033 loss_val: 1.6392
Run:01 Epoch: 0171 loss_train: 1.6473 loss_val: 1.5960
Run:01 Epoch: 0181 loss_train: 1.5931 loss_val: 1.5521
Run:01 Epoch: 0191 loss_train: 1.5416 loss_val: 1.5090
Run:02 Epoch: 0001 loss_train: 1.4926 loss_val: 1.4668
Run:02 Epoch: 0011 loss_train: 1.4478 loss_val: 1.4264
Run:02 Epoch: 0021 loss_train: 1.4015 loss_val: 1.3876
Run:02 Epoch: 0031 loss_train: 1.3635 loss_val: 1.3514
Run:02 Epoch: 0041 loss_train: 1.3256 loss_val: 1.3174
Run:02 Epoch: 0051 loss_train: 1.2915 loss_val: 1.2864
Run:02 Epoch: 0061 loss_train: 1.2595 loss_val: 1.2586
Run:02 Epoch: 0071 loss_train: 1.2321 loss_val: 1.2336
Run:02 Epoch: 0081 loss_train: 1.2058 loss_val: 1.2115
Run:02 Epoch: 0091 loss_train: 1.1838 loss_val: 1.1922
Run:02 Epoch: 0101 loss_train: 1.1618 loss_val: 1.1751
Run:02 Epoch: 0111 loss_train: 1.1443 loss_val: 1.1607
Run:02 Epoch: 0121 loss_train: 1.1284 loss_val: 1.1479
Run:02 Epoch: 0131 loss_train: 1.1139 loss_val: 1.1364
Run:02 Epoch: 0141 loss_train: 1.0983 loss_val: 1.1263
Run:02 Epoch: 0151 loss_train: 1.0875 loss_val: 1.1173
Run:02 Epoch: 0161 loss_train: 1.0740 loss_val: 1.1094
Run:02 Epoch: 0171 loss_train: 1.0662 loss_val: 1.1023
Run:02 Epoch: 0181 loss_train: 1.0579 loss_val: 1.0953
Run:02 Epoch: 0191 loss_train: 1.0475 loss_val: 1.0891
Run:03 Epoch: 0001 loss_train: 1.0385 loss_val: 1.0833
Run:03 Epoch: 0011 loss_train: 1.0318 loss_val: 1.0776
Run:03 Epoch: 0021 loss_train: 1.0265 loss_val: 1.0724
Run:03 Epoch: 0031 loss_train: 1.0153 loss_val: 1.0674
Run:03 Epoch: 0041 loss_train: 1.0106 loss_val: 1.0630
Run:03 Epoch: 0051 loss_train: 1.0043 loss_val: 1.0582
Run:03 Epoch: 0061 loss_train: 0.9991 loss_val: 1.0538
Run:03 Epoch: 0071 loss_train: 0.9895 loss_val: 1.0496
Run:03 Epoch: 0081 loss_train: 0.9861 loss_val: 1.0448
Run:03 Epoch: 0091 loss_train: 0.9786 loss_val: 1.0406
Run:03 Epoch: 0101 loss_train: 0.9726 loss_val: 1.0366
Run:03 Epoch: 0111 loss_train: 0.9676 loss_val: 1.0322
Run:03 Epoch: 0121 loss_train: 0.9600 loss_val: 1.0281
