args
 Namespace(samples=4, concat=10, runs=3, latent_size=10, dataset='house', seed=42, epochs=2000, lr=0.01, weight_decay=0.0005, hidden=64, dropout=0.5, batch_size=128, tem=0.5, lam=1.0, pretrain_epochs=10, pretrain_lr=0.1, conditional=True, update_epochs=20, num_models=100, warmup=200, cuda=False)
Loading zoo dataset...
load features
load edges
hg: Hypergraph(num_v=101, num_e=41)
Run Train:   0%|          | 0/3 [00:00<?, ?it/s]/users/Min/miniconda/envs/hy/lib/python3.9/site-packages/torch/nn/functional.py:1967: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
Run:01 Epoch: 0001 loss_train: 2.1127 loss_val: 1.9669
Run:01 Epoch: 0002 loss_train: 1.8596 loss_val: 1.9765
Run:01 Epoch: 0003 loss_train: 1.7445 loss_val: 2.0993
Run:01 Epoch: 0004 loss_train: 1.7476 loss_val: 2.2078
Run:01 Epoch: 0005 loss_train: 1.7946 loss_val: 2.1741
Run:01 Epoch: 0006 loss_train: 1.8071 loss_val: 2.0788
Run:01 Epoch: 0007 loss_train: 1.8113 loss_val: 1.9886
Run:01 Epoch: 0008 loss_train: 1.8172 loss_val: 1.9214
Run:01 Epoch: 0009 loss_train: 1.8249 loss_val: 1.8809
Run:01 Epoch: 0010 loss_train: 1.8268 loss_val: 1.8641
Run:01 Epoch: 0011 loss_train: 1.8358 loss_val: 1.8657
Run:01 Epoch: 0012 loss_train: 1.8456 loss_val: 1.8824
Run:01 Epoch: 0013 loss_train: 1.8542 loss_val: 1.9065
Run:01 Epoch: 0014 loss_train: 1.8618 loss_val: 1.9301
Run:01 Epoch: 0015 loss_train: 1.8587 loss_val: 1.9451
Run:01 Epoch: 0016 loss_train: 1.8453 loss_val: 1.9474
Run:01 Epoch: 0017 loss_train: 1.8157 loss_val: 1.9395
Run:01 Epoch: 0018 loss_train: 1.7852 loss_val: 1.9235
Run:01 Epoch: 0019 loss_train: 1.7612 loss_val: 1.9088
Run:01 Epoch: 0020 loss_train: 1.7575 loss_val: 1.8989
Run:01 Epoch: 0021 loss_train: 1.7760 loss_val: 1.9045
Run:01 Epoch: 0022 loss_train: 1.8064 loss_val: 1.9198
Run:01 Epoch: 0023 loss_train: 1.8312 loss_val: 1.9296
Run:01 Epoch: 0024 loss_train: 1.8340 loss_val: 1.9243
Run:01 Epoch: 0025 loss_train: 1.8210 loss_val: 1.9123
Run:01 Epoch: 0026 loss_train: 1.8027 loss_val: 1.9009
Run:01 Epoch: 0027 loss_train: 1.7869 loss_val: 1.8956
Run:01 Epoch: 0028 loss_train: 1.7839 loss_val: 1.8996
Run:01 Epoch: 0029 loss_train: 1.7917 loss_val: 1.9080
Run:01 Epoch: 0030 loss_train: 1.8037 loss_val: 1.9127
Run:01 Epoch: 0031 loss_train: 1.8142 loss_val: 1.9069
Run:01 Epoch: 0032 loss_train: 1.8120 loss_val: 1.8984
Run:01 Epoch: 0033 loss_train: 1.8060 loss_val: 1.8897
Run:01 Epoch: 0034 loss_train: 1.7972 loss_val: 1.8877
Run:01 Epoch: 0035 loss_train: 1.7855 loss_val: 1.8963
Run:01 Epoch: 0036 loss_train: 1.7902 loss_val: 1.9060
Run:01 Epoch: 0037 loss_train: 1.7939 loss_val: 1.9090
Run:01 Epoch: 0038 loss_train: 1.8013 loss_val: 1.9018
Run:01 Epoch: 0039 loss_train: 1.7973 loss_val: 1.8954
Run:01 Epoch: 0040 loss_train: 1.7959 loss_val: 1.8918
Run:01 Epoch: 0041 loss_train: 1.7910 loss_val: 1.8974
Run:01 Epoch: 0042 loss_train: 1.7986 loss_val: 1.8991
Run:01 Epoch: 0043 loss_train: 1.8009 loss_val: 1.8919
Run:01 Epoch: 0044 loss_train: 1.7897 loss_val: 1.8846
Run:01 Epoch: 0045 loss_train: 1.7869 loss_val: 1.8824
Run:01 Epoch: 0046 loss_train: 1.7826 loss_val: 1.8904
Run:01 Epoch: 0047 loss_train: 1.7870 loss_val: 1.8961
Run:01 Epoch: 0048 loss_train: 1.7925 loss_val: 1.8882
Run:01 Epoch: 0049 loss_train: 1.7894 loss_val: 1.8718
Run:01 Epoch: 0050 loss_train: 1.7732 loss_val: 1.8652
Run:01 Epoch: 0051 loss_train: 1.7685 loss_val: 1.8774
Run:01 Epoch: 0052 loss_train: 1.7763 loss_val: 1.8819
Run:01 Epoch: 0053 loss_train: 1.7802 loss_val: 1.8730
Run:01 Epoch: 0054 loss_train: 1.7800 loss_val: 1.8645
Run:01 Epoch: 0055 loss_train: 1.7648 loss_val: 1.8676
Run:01 Epoch: 0056 loss_train: 1.7650 loss_val: 1.8708
Run:01 Epoch: 0057 loss_train: 1.7627 loss_val: 1.8597
Run:01 Epoch: 0058 loss_train: 1.7550 loss_val: 1.8418
Run:01 Epoch: 0059 loss_train: 1.7404 loss_val: 1.8559
Run:01 Epoch: 0060 loss_train: 1.7550 loss_val: 1.8736
Run:01 Epoch: 0061 loss_train: 1.7707 loss_val: 1.8450
Run:01 Epoch: 0062 loss_train: 1.7455 loss_val: 1.8230
Run:01 Epoch: 0063 loss_train: 1.7139 loss_val: 1.8373
Run:01 Epoch: 0064 loss_train: 1.7311 loss_val: 1.8414
Run:01 Epoch: 0065 loss_train: 1.7447 loss_val: 1.8283
Run:01 Epoch: 0066 loss_train: 1.7271 loss_val: 1.8242
Run:01 Epoch: 0067 loss_train: 1.7223 loss_val: 1.8267
Run:01 Epoch: 0068 loss_train: 1.7109 loss_val: 1.8127
Run:01 Epoch: 0069 loss_train: 1.7062 loss_val: 1.7976
Run:01 Epoch: 0070 loss_train: 1.7199 loss_val: 1.7899
Run:01 Epoch: 0071 loss_train: 1.7108 loss_val: 1.7944
Run:01 Epoch: 0072 loss_train: 1.6836 loss_val: 1.7935
Run:01 Epoch: 0073 loss_train: 1.6699 loss_val: 1.7953
Run:01 Epoch: 0074 loss_train: 1.6789 loss_val: 1.7722
Run:01 Epoch: 0075 loss_train: 1.6743 loss_val: 1.7638
Run:01 Epoch: 0076 loss_train: 1.6834 loss_val: 1.7560
Run:01 Epoch: 0077 loss_train: 1.6315 loss_val: 1.7587
Run:01 Epoch: 0078 loss_train: 1.6307 loss_val: 1.7575
Run:01 Epoch: 0079 loss_train: 1.6188 loss_val: 1.7401
Run:01 Epoch: 0080 loss_train: 1.6454 loss_val: 1.7308
Run:01 Epoch: 0081 loss_train: 1.6183 loss_val: 1.7274
Run:01 Epoch: 0082 loss_train: 1.6041 loss_val: 1.7255
Run:01 Epoch: 0083 loss_train: 1.5728 loss_val: 1.7216
Run:01 Epoch: 0084 loss_train: 1.6011 loss_val: 1.6883
Run:01 Epoch: 0085 loss_train: 1.5581 loss_val: 1.7130
Run:01 Epoch: 0086 loss_train: 1.5957 loss_val: 1.6949
Run:01 Epoch: 0087 loss_train: 1.5477 loss_val: 1.6809
Run:01 Epoch: 0088 loss_train: 1.5180 loss_val: 1.6662
Run:01 Epoch: 0089 loss_train: 1.5368 loss_val: 1.6574
Run:01 Epoch: 0090 loss_train: 1.4916 loss_val: 1.6765
Run:01 Epoch: 0091 loss_train: 1.5568 loss_val: 1.6501
Run:01 Epoch: 0092 loss_train: 1.4999 loss_val: 1.6403
Run:01 Epoch: 0093 loss_train: 1.4599 loss_val: 1.6595
Run:01 Epoch: 0094 loss_train: 1.4625 loss_val: 1.6485
Run:01 Epoch: 0095 loss_train: 1.4650 loss_val: 1.5865
Run:01 Epoch: 0096 loss_train: 1.4338 loss_val: 1.6056
Run:01 Epoch: 0097 loss_train: 1.4548 loss_val: 1.6086
Run:01 Epoch: 0098 loss_train: 1.4733 loss_val: 1.5899
Run:01 Epoch: 0099 loss_train: 1.4099 loss_val: 1.5892
Run:01 Epoch: 0100 loss_train: 1.3926 loss_val: 1.6424
