args
 Namespace(samples=4, concat=10, runs=3, latent_size=10, dataset='senate', seed=42, epochs=1000, lr=0.001, weight_decay=0.0005, hidden=64, dropout=0.5, batch_size=128, tem=0.5, lam=1.0, pretrain_epochs=8, pretrain_lr=0.001, conditional=True, update_epochs=20, num_models=100, warmup=200, use_mediator=False, cuda=False)
Hypergraph(num_v=294, num_e=21721)
X dim: torch.Size([294, 294])
labels: 2
Run Train:   0%|          | 0/3 [00:00<?, ?it/s]/users/Min/miniconda/envs/hy/lib/python3.9/site-packages/torch/nn/functional.py:1967: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
Run Train:  33%|███▎      | 1/3 [12:08:24<24:16:48, 43704.07s/it]/users/Min/miniconda/envs/hy/lib/python3.9/site-packages/torch/nn/functional.py:1967: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
Run:01 Epoch: 0001 loss_train: 0.6939 loss_val: 0.6910
Run:01 Epoch: 0011 loss_train: 0.6950 loss_val: 0.6904
Run:01 Epoch: 0021 loss_train: 0.6947 loss_val: 0.6912
Run:01 Epoch: 0031 loss_train: 0.6938 loss_val: 0.6894
Run:01 Epoch: 0041 loss_train: 0.6926 loss_val: 0.6901
Run:01 Epoch: 0051 loss_train: 0.6915 loss_val: 0.6897
Run:01 Epoch: 0061 loss_train: 0.6907 loss_val: 0.6874
Run:01 Epoch: 0071 loss_train: 0.6881 loss_val: 0.6891
Run:01 Epoch: 0081 loss_train: 0.6888 loss_val: 0.6929
Run:01 Epoch: 0091 loss_train: 0.6905 loss_val: 0.6907
Run:01 Epoch: 0101 loss_train: 0.6946 loss_val: 0.6894
Run:01 Epoch: 0111 loss_train: 0.6962 loss_val: 0.6944
Run:01 Epoch: 0121 loss_train: 0.6938 loss_val: 0.6938
Run:01 Epoch: 0131 loss_train: 0.7094 loss_val: 0.7070
Run:01 Epoch: 0141 loss_train: 0.7043 loss_val: 0.7003
Run:01 Epoch: 0151 loss_train: 0.7073 loss_val: 0.7207
Run:01 Epoch: 0161 loss_train: 0.7011 loss_val: 0.7035
Run:01 Epoch: 0171 loss_train: 0.7058 loss_val: 0.6857
Run:01 Epoch: 0181 loss_train: 0.7042 loss_val: 0.7037
Run:01 Epoch: 0191 loss_train: 0.7052 loss_val: 0.7140
Run:01 Epoch: 0201 loss_train: 0.7132 loss_val: 0.7165
Run:01 Epoch: 0211 loss_train: 0.7073 loss_val: 0.7056
Run:01 Epoch: 0221 loss_train: 0.7055 loss_val: 0.6957
Run:01 Epoch: 0231 loss_train: 0.7035 loss_val: 0.7083
Run:01 Epoch: 0241 loss_train: 0.6969 loss_val: 0.7059
Run:01 Epoch: 0251 loss_train: 0.7080 loss_val: 0.7163
Run:01 Epoch: 0261 loss_train: 0.7003 loss_val: 0.7240
Run:01 Epoch: 0271 loss_train: 0.6986 loss_val: 0.7067
Run:01 Epoch: 0281 loss_train: 0.7021 loss_val: 0.7084
Run:01 Epoch: 0291 loss_train: 0.7055 loss_val: 0.7114
Run:01 Epoch: 0301 loss_train: 0.7047 loss_val: 0.7190
Run:01 Epoch: 0311 loss_train: 0.6971 loss_val: 0.6988
Run:01 Epoch: 0321 loss_train: 0.7055 loss_val: 0.6976
Run:01 Epoch: 0331 loss_train: 0.7036 loss_val: 0.7226
Run:01 Epoch: 0341 loss_train: 0.6998 loss_val: 0.7091
Run:01 Epoch: 0351 loss_train: 0.7038 loss_val: 0.7127
Run:01 Epoch: 0361 loss_train: 0.6987 loss_val: 0.7180
Run:01 Epoch: 0371 loss_train: 0.7100 loss_val: 0.7032
Run:01 Epoch: 0381 loss_train: 0.6966 loss_val: 0.7293
Run:01 Epoch: 0391 loss_train: 0.7040 loss_val: 0.7247
Run:01 Epoch: 0401 loss_train: 0.6984 loss_val: 0.7091
Run:01 Epoch: 0411 loss_train: 0.6921 loss_val: 0.7097
Run:01 Epoch: 0421 loss_train: 0.6989 loss_val: 0.7271
Run:01 Epoch: 0431 loss_train: 0.6951 loss_val: 0.7129
Run:01 Epoch: 0441 loss_train: 0.7001 loss_val: 0.6785
Run:01 Epoch: 0451 loss_train: 0.7081 loss_val: 0.7366
Run:01 Epoch: 0461 loss_train: 0.7005 loss_val: 0.7143
Run:01 Epoch: 0471 loss_train: 0.7084 loss_val: 0.7133
Run:01 Epoch: 0481 loss_train: 0.7039 loss_val: 0.7308
Run:01 Epoch: 0491 loss_train: 0.6998 loss_val: 0.7059
Run:01 Epoch: 0501 loss_train: 0.7000 loss_val: 0.7116
Run:01 Epoch: 0511 loss_train: 0.6986 loss_val: 0.7222
Run:01 Epoch: 0521 loss_train: 0.6909 loss_val: 0.7215
