args
 Namespace(samples=4, concat=10, runs=3, latent_size=10, dataset='senate', seed=42, epochs=1000, lr=0.001, weight_decay=0.0005, hidden=64, dropout=0.5, batch_size=128, tem=0.5, lam=1.0, pretrain_epochs=8, pretrain_lr=0.001, conditional=True, update_epochs=20, num_models=100, warmup=200, cuda=False)
Hypergraph(num_v=294, num_e=21721)
X dim: torch.Size([294, 294])
labels: 2
Run Train:   0%|          | 0/3 [00:00<?, ?it/s]/users/Min/miniconda/envs/hy/lib/python3.9/site-packages/torch/nn/functional.py:1967: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
Run Train:  33%|███▎      | 1/3 [24:36<49:12, 1476.26s/it]/users/Min/miniconda/envs/hy/lib/python3.9/site-packages/torch/nn/functional.py:1967: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
Run:01 Epoch: 0001 loss_train: 1371.6334 loss_val: 6844.8701
Run:01 Epoch: 0011 loss_train: 1001.1132 loss_val: 1260.8259
Run:01 Epoch: 0021 loss_train: 555.8516 loss_val: 618.6276
Run:01 Epoch: 0031 loss_train: 452.0337 loss_val: 45.0023
Run:01 Epoch: 0041 loss_train: 501.3857 loss_val: 243.4440
Run:01 Epoch: 0051 loss_train: 627.4811 loss_val: 301.1122
Run:01 Epoch: 0061 loss_train: 485.0730 loss_val: 153.6920
Run:01 Epoch: 0071 loss_train: 452.4095 loss_val: 124.2308
Run:01 Epoch: 0081 loss_train: 195.5080 loss_val: 136.8243
Run:01 Epoch: 0091 loss_train: 270.0463 loss_val: 201.3473
Run:01 Epoch: 0101 loss_train: 206.3420 loss_val: 112.3943
Run:01 Epoch: 0111 loss_train: 192.7739 loss_val: 102.2264
Run:01 Epoch: 0121 loss_train: 195.6949 loss_val: 314.0937
Run:01 Epoch: 0131 loss_train: 148.0515 loss_val: 180.1304
Run:01 Epoch: 0141 loss_train: 201.3972 loss_val: 136.3428
Run:01 Epoch: 0151 loss_train: 200.9477 loss_val: 96.5865
Run:01 Epoch: 0161 loss_train: 181.7975 loss_val: 83.0859
Run:01 Epoch: 0171 loss_train: 201.4030 loss_val: 80.5807
Run:01 Epoch: 0181 loss_train: 138.5294 loss_val: 77.9065
Run:01 Epoch: 0191 loss_train: 128.3852 loss_val: 73.9237
Run:01 Epoch: 0201 loss_train: 103.8801 loss_val: 72.8592
Run:01 Epoch: 0211 loss_train: 258.6474 loss_val: 108.9199
Run:01 Epoch: 0221 loss_train: 99.9252 loss_val: 68.7599
Run:01 Epoch: 0231 loss_train: 82.5603 loss_val: 91.4112
Run:01 Epoch: 0241 loss_train: 67.8581 loss_val: 100.6886
Run:01 Epoch: 0251 loss_train: 77.9690 loss_val: 137.2919
