args
 Namespace(samples=4, concat=10, runs=3, latent_size=10, dataset='house', seed=42, epochs=1500, lr=0.01, weight_decay=0.0005, hidden=256, dropout=0.5, batch_size=128, tem=0.5, lam=1.0, pretrain_epochs=10, pretrain_lr=0.01, conditional=True, update_epochs=20, num_models=100, warmup=200, cuda=False)
Loading zoo dataset...
load features
load edges
hg: Hypergraph(num_v=101, num_e=41)
Run Train:   0%|          | 0/3 [00:00<?, ?it/s]/users/Min/miniconda/envs/hy/lib/python3.9/site-packages/torch/nn/functional.py:1967: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
Run:01 Epoch: 0001 loss_train: 43.4486 loss_val: 18.7785
Run:01 Epoch: 0002 loss_train: 26.2867 loss_val: 294.8563
Run:01 Epoch: 0003 loss_train: 257.3641 loss_val: 615.0812
Run:01 Epoch: 0004 loss_train: 453.2844 loss_val: 882.6075
Run:01 Epoch: 0005 loss_train: 635.3960 loss_val: 924.9158
Run:01 Epoch: 0006 loss_train: 692.8163 loss_val: 686.4686
Run:01 Epoch: 0007 loss_train: 474.2874 loss_val: 673.1922
Run:01 Epoch: 0008 loss_train: 483.0990 loss_val: 517.9119
Run:01 Epoch: 0009 loss_train: 351.6875 loss_val: 397.1870
Run:01 Epoch: 0010 loss_train: 266.8862 loss_val: 261.4645
Run:01 Epoch: 0011 loss_train: 169.3389 loss_val: 135.5217
Run:01 Epoch: 0012 loss_train: 81.0195 loss_val: 118.1411
Run:01 Epoch: 0013 loss_train: 92.7066 loss_val: 89.7089
Run:01 Epoch: 0014 loss_train: 81.2898 loss_val: 51.2357
Run:01 Epoch: 0015 loss_train: 51.3323 loss_val: 21.9813
Run:01 Epoch: 0016 loss_train: 26.0483 loss_val: 16.5057
Run:01 Epoch: 0017 loss_train: 20.3900 loss_val: 19.8045
Run:01 Epoch: 0018 loss_train: 22.9220 loss_val: 8.4138
Run:01 Epoch: 0019 loss_train: 10.0522 loss_val: 4.4634
Run:01 Epoch: 0020 loss_train: 4.4866 loss_val: 5.2541
Run:01 Epoch: 0021 loss_train: 4.6128 loss_val: 4.2616
Run:01 Epoch: 0022 loss_train: 2.9062 loss_val: 2.6708
Run:01 Epoch: 0023 loss_train: 2.0223 loss_val: 1.9688
Run:01 Epoch: 0024 loss_train: 1.8343 loss_val: 2.3168
Run:01 Epoch: 0025 loss_train: 2.4250 loss_val: 2.2905
Run:01 Epoch: 0026 loss_train: 2.1730 loss_val: 3.4000
Run:01 Epoch: 0027 loss_train: 2.4716 loss_val: 2.3697
Run:01 Epoch: 0028 loss_train: 2.0257 loss_val: 2.1158
Run:01 Epoch: 0029 loss_train: 1.8525 loss_val: 1.8620
Run:01 Epoch: 0030 loss_train: 1.9459 loss_val: 3.0991
Run:01 Epoch: 0031 loss_train: 2.6058 loss_val: 2.0044
Run:01 Epoch: 0032 loss_train: 1.9008 loss_val: 2.0565
Run:01 Epoch: 0033 loss_train: 1.9910 loss_val: 1.8996
Run:01 Epoch: 0034 loss_train: 1.7606 loss_val: 1.9191
Run:01 Epoch: 0035 loss_train: 1.7092 loss_val: 1.9359
Run:01 Epoch: 0036 loss_train: 1.8240 loss_val: 1.9704
Run:01 Epoch: 0037 loss_train: 1.8968 loss_val: 1.9740
Run:01 Epoch: 0038 loss_train: 1.8020 loss_val: 2.0048
Run:01 Epoch: 0039 loss_train: 1.7355 loss_val: 1.9427
Run:01 Epoch: 0040 loss_train: 1.7622 loss_val: 1.8749
Run:01 Epoch: 0041 loss_train: 1.8536 loss_val: 1.9268
Run:01 Epoch: 0042 loss_train: 1.7552 loss_val: 1.9740
Run:01 Epoch: 0043 loss_train: 1.7328 loss_val: 1.8771
Run:01 Epoch: 0044 loss_train: 1.8277 loss_val: 1.8810
Run:01 Epoch: 0045 loss_train: 1.8321 loss_val: 1.9807
Run:01 Epoch: 0046 loss_train: 1.7996 loss_val: 1.8868
Run:01 Epoch: 0047 loss_train: 1.8439 loss_val: 1.8777
Run:01 Epoch: 0048 loss_train: 1.8617 loss_val: 1.9441
Run:01 Epoch: 0049 loss_train: 1.8219 loss_val: 1.9146
Run:01 Epoch: 0050 loss_train: 1.8209 loss_val: 1.8395
Run:01 Epoch: 0051 loss_train: 1.8326 loss_val: 1.8723
Run:01 Epoch: 0052 loss_train: 1.8131 loss_val: 1.9140
Run:01 Epoch: 0053 loss_train: 1.8124 loss_val: 1.8688
Run:01 Epoch: 0054 loss_train: 1.8195 loss_val: 1.8531
Run:01 Epoch: 0055 loss_train: 1.8110 loss_val: 1.9003
Run:01 Epoch: 0056 loss_train: 1.8011 loss_val: 1.9167
Run:01 Epoch: 0057 loss_train: 1.7903 loss_val: 1.8815
Run:01 Epoch: 0058 loss_train: 1.8113 loss_val: 1.8844
Run:01 Epoch: 0059 loss_train: 1.8041 loss_val: 1.9033
Run:01 Epoch: 0060 loss_train: 1.7889 loss_val: 1.9079
Run:01 Epoch: 0061 loss_train: 1.7747 loss_val: 1.8702
Run:01 Epoch: 0062 loss_train: 1.7584 loss_val: 1.8361
Run:01 Epoch: 0063 loss_train: 1.7713 loss_val: 1.8704
Run:01 Epoch: 0064 loss_train: 1.7486 loss_val: 1.8780
Run:01 Epoch: 0065 loss_train: 1.7428 loss_val: 1.8848
Run:01 Epoch: 0066 loss_train: 1.7512 loss_val: 1.8430
Run:01 Epoch: 0067 loss_train: 1.7524 loss_val: 1.8484
Run:01 Epoch: 0068 loss_train: 1.7375 loss_val: 1.8397
Run:01 Epoch: 0069 loss_train: 1.7432 loss_val: 1.8209
Run:01 Epoch: 0070 loss_train: 1.7270 loss_val: 1.7985
Run:01 Epoch: 0071 loss_train: 1.6918 loss_val: 1.7601
Run:01 Epoch: 0072 loss_train: 1.6847 loss_val: 1.7591
Run:01 Epoch: 0073 loss_train: 1.6825 loss_val: 1.7726
Run:01 Epoch: 0074 loss_train: 1.6646 loss_val: 1.7572
Run:01 Epoch: 0075 loss_train: 1.6541 loss_val: 1.7460
Run:01 Epoch: 0076 loss_train: 1.6310 loss_val: 1.7491
Run:01 Epoch: 0077 loss_train: 1.6241 loss_val: 1.6900
Run:01 Epoch: 0078 loss_train: 1.5338 loss_val: 1.6681
Run:01 Epoch: 0079 loss_train: 1.5097 loss_val: 1.6641
Run:01 Epoch: 0080 loss_train: 1.4758 loss_val: 1.6534
Run:01 Epoch: 0081 loss_train: 1.4730 loss_val: 1.6347
Run:01 Epoch: 0082 loss_train: 1.4899 loss_val: 1.5426
Run:01 Epoch: 0083 loss_train: 1.4099 loss_val: 1.5351
Run:01 Epoch: 0084 loss_train: 1.3802 loss_val: 1.5464
Run:01 Epoch: 0085 loss_train: 1.3789 loss_val: 1.5983
Run:01 Epoch: 0086 loss_train: 1.3568 loss_val: 1.6476
Run:01 Epoch: 0087 loss_train: 1.4294 loss_val: 1.4779
Run:01 Epoch: 0088 loss_train: 1.4336 loss_val: 1.4337
Run:01 Epoch: 0089 loss_train: 1.2607 loss_val: 1.3883
Run:01 Epoch: 0090 loss_train: 1.3086 loss_val: 1.4853
Run:01 Epoch: 0091 loss_train: 1.3342 loss_val: 1.5546
Run:01 Epoch: 0092 loss_train: 1.3738 loss_val: 1.5059
Run:01 Epoch: 0093 loss_train: 1.3184 loss_val: 1.3503
Run:01 Epoch: 0094 loss_train: 1.2673 loss_val: 1.3750
Run:01 Epoch: 0095 loss_train: 1.4532 loss_val: 1.3329
Run:01 Epoch: 0096 loss_train: 1.2662 loss_val: 1.3922
Run:01 Epoch: 0097 loss_train: 1.3046 loss_val: 1.4897
Run:01 Epoch: 0098 loss_train: 1.2863 loss_val: 1.5982
Run:01 Epoch: 0099 loss_train: 1.3764 loss_val: 1.4767
Run:01 Epoch: 0100 loss_train: 1.2382 loss_val: 1.3929
Run:01 Epoch: 0101 loss_train: 1.2111 loss_val: 1.3260
Run:01 Epoch: 0102 loss_train: 1.1769 loss_val: 1.4879
Run:01 Epoch: 0103 loss_train: 1.2770 loss_val: 1.3393
Run:01 Epoch: 0104 loss_train: 1.2194 loss_val: 1.4219
Run:01 Epoch: 0105 loss_train: 1.1898 loss_val: 1.4718
Run:01 Epoch: 0106 loss_train: 1.3800 loss_val: 1.5702
Run:01 Epoch: 0107 loss_train: 1.4719 loss_val: 1.6865
Run:01 Epoch: 0108 loss_train: 1.2339 loss_val: 1.3336
Run:01 Epoch: 0109 loss_train: 1.1342 loss_val: 1.5032
Run:01 Epoch: 0110 loss_train: 1.3762 loss_val: 1.4237
Run:01 Epoch: 0111 loss_train: 1.2679 loss_val: 1.3378
Run:01 Epoch: 0112 loss_train: 1.2558 loss_val: 1.4039
Run:01 Epoch: 0113 loss_train: 1.4920 loss_val: 1.5897
Run:01 Epoch: 0114 loss_train: 1.2677 loss_val: 1.5145
Run:01 Epoch: 0115 loss_train: 1.5243 loss_val: 1.6240
Run:01 Epoch: 0116 loss_train: 1.3016 loss_val: 1.3653
Run:01 Epoch: 0117 loss_train: 1.1952 loss_val: 1.2133
Run:01 Epoch: 0118 loss_train: 1.1417 loss_val: 1.2092
Run:01 Epoch: 0119 loss_train: 1.3098 loss_val: 1.4022
Run:01 Epoch: 0120 loss_train: 1.1390 loss_val: 1.3387
Run:01 Epoch: 0121 loss_train: 1.2584 loss_val: 1.4341
Run:01 Epoch: 0122 loss_train: 1.3859 loss_val: 1.7888
Run:01 Epoch: 0123 loss_train: 1.3892 loss_val: 1.5653
Run:01 Epoch: 0124 loss_train: 1.1857 loss_val: 1.2263
Run:01 Epoch: 0125 loss_train: 1.0968 loss_val: 1.1411
Run:01 Epoch: 0126 loss_train: 1.2821 loss_val: 1.1479
Run:01 Epoch: 0127 loss_train: 1.2159 loss_val: 1.4178
Run:01 Epoch: 0128 loss_train: 1.2294 loss_val: 1.4161
Run:01 Epoch: 0129 loss_train: 1.1072 loss_val: 1.4955
Run:01 Epoch: 0130 loss_train: 1.4438 loss_val: 1.4718
Run:01 Epoch: 0131 loss_train: 1.2072 loss_val: 1.3841
Run:01 Epoch: 0132 loss_train: 1.2207 loss_val: 1.3605
Run:01 Epoch: 0133 loss_train: 1.3402 loss_val: 1.3516
Run:01 Epoch: 0134 loss_train: 1.1693 loss_val: 1.3906
Run:01 Epoch: 0135 loss_train: 1.1633 loss_val: 1.4057
Run:01 Epoch: 0136 loss_train: 1.4566 loss_val: 1.2876
Run:01 Epoch: 0137 loss_train: 1.0900 loss_val: 1.1637
Run:01 Epoch: 0138 loss_train: 1.1156 loss_val: 1.2188
